interaction_id,customer_id,campaign_name,channel,interaction_date,clicked,converted
8000058,121275,Savings Goal,Push Notification,2024-06-21,False,False
8000059,101477,Premium Upgrade,SMS,2024-04-28,False,False
8000060,103689,Dormant Reactivation,Email,2023-01-19,False,False
8000061,115752,Cashback Boost,Push Notification,2024-11-28,False,False
8000062,124706,Dormant Reactivation,Email,2024-01-11,False,False
8000063,113180,Cashback Boost,In-App Banner,2024-02-08,False,False
8000064,126170,Cashback Boost,Email,2024-07-29,False,False
8000065,115978,Cashback Boost,Push Notification,2024-06-25,False,False
8000066,102147,Cashback Boost,Email,2023-06-21,False,False
8000067,112087,Loan Offer,SMS,2023-10-05,False,False
8000068,116910,Cashback Boost,Push Notification,2023-05-30,False,False
8000069,115033,Travel Card,SMS,2023-10-06,True,False
8000070,101118,Premium Upgrade,In-App Banner,2024-06-10,True,False
8000071,114459,Premium Upgrade,Email,2023-07-06,True,False
8000072,127425,Premium Upgrade,Push Notification,2024-08-27,False,False
8000073,112517,Travel Card,Email,2024-12-07,False,False
8000074,112034,Travel Card,Push Notification,2023-05-07,False,False
8000075,113962,Cashback Boost,In-App Banner,2024-03-16,False,False
8000076,127633,Dormant Reactivation,In-App Banner,2024-05-03,False,False
8000077,102358,Loan Offer,Email,2023-01-26,False,False
8000078,103216,Dormant Reactivation,In-App Banner,2023-02-12,False,False
8000079,106721,Savings Goal,In-App Banner,2024-06-27,False,False
8000080,115669,Savings Goal,Email,2024-12-16,False,False
8000081,107349,Cashback Boost,Push Notification,2024-04-14,False,False
8000082,110843,Loan Offer,SMS,2024-04-17,False,False
8000083,104778,Cashback Boost,In-App Banner,2023-06-13,False,False
8000084,128785,Cashback Boost,SMS,2024-05-26,False,False
8000085,121936,Travel Card,Email,2024-08-27,False,False
8000086,123327,Premium Upgrade,In-App Banner,2023-07-08,True,False
8000087,127797,Cashback Boost,Email,2024-11-05,False,False
8000088,113962,Premium Upgrade,Push Notification,2024-11-10,False,False
8000089,108245,Loan Offer,Push Notification,2023-07-14,False,False
8000090,119749,Savings Goal,Push Notification,2023-09-08,False,False
8000091,112567,Loan Offer,Email,2024-03-28,False,False
8000092,129709,Loan Offer,SMS,2023-03-11,False,False
8000093,106061,Cashback Boost,Email,2023-06-27,False,False
8000094,124991,Premium Upgrade,Push Notification,2023-04-09,False,False
8000095,115526,Loan Offer,Email,2024-04-03,False,False
8000096,116519,Travel Card,SMS,2024-08-23,False,False
8000097,102113,Travel Card,Email,2024-04-24,False,False
8000098,122325,Premium Upgrade,Email,2024-01-08,False,False
8000099,118006,Savings Goal,Push Notification,2023-07-01,False,False
8000100,110128,Travel Card,Email,2023-03-29,False,False
8000101,104401,Cashback Boost,Email,2023-12-21,False,False
8000102,116949,Premium Upgrade,In-App Banner,2024-05-19,True,False
8000103,105322,Loan Offer,Push Notification,2024-01-28,False,False
8000104,106762,Cashback Boost,Push Notification,2023-06-15,False,False
8000105,104727,Premium Upgrade,Push Notification,2024-08-13,False,False
8000106,119677,Dormant Reactivation,Push Notification,2023-03-20,False,False
8000107,113434,Savings Goal,Push Notification,2024-03-03,False,False
8000108,101970,Savings Goal,Push Notification,2024-01-16,True,False
8000109,120732,Cashback Boost,In-App Banner,2023-10-22,False,False
8000110,107687,Dormant Reactivation,Push Notification,2024-11-26,True,False
8000111,127028,Premium Upgrade,SMS,2023-01-10,False,False
8000112,127904,Savings Goal,Email,2024-07-27,True,True
8000113,122539,Savings Goal,Push Notification,2024-12-18,False,False
8000114,113020,Loan Offer,Push Notification,2024-01-20,False,False
8000115,106331,Cashback Boost,Email,2023-06-05,False,False
8000116,123912,Cashback Boost,In-App Banner,2023-08-12,False,False
8000117,115618,Travel Card,Email,2024-09-05,False,False
8000118,116315,Savings Goal,Email,2024-06-28,False,False
8000119,127764,Loan Offer,Email,2024-09-18,False,False
8000120,108484,Cashback Boost,In-App Banner,2023-03-17,False,False
8000121,129263,Dormant Reactivation,SMS,2023-10-19,False,False
8000122,103073,Cashback Boost,Push Notification,2023-05-23,False,False
8000123,101036,Travel Card,Push Notification,2024-10-04,False,False
8000124,123320,Savings Goal,Push Notification,2024-06-04,False,False
8000125,121757,Premium Upgrade,In-App Banner,2024-04-24,False,False
8000126,111815,Travel Card,In-App Banner,2023-08-25,False,False
8000127,117075,Dormant Reactivation,Push Notification,2024-04-17,False,False
8000128,104587,Savings Goal,Push Notification,2024-08-25,False,False
8000129,116560,Dormant Reactivation,Push Notification,2023-05-10,False,False
8000130,120932,Cashback Boost,Email,2024-07-14,False,False
8000131,100244,Cashback Boost,SMS,2023-12-10,False,False
8000132,101085,Dormant Reactivation,In-App Banner,2023-03-18,False,False
8000133,125413,Cashback Boost,In-App Banner,2023-07-12,False,False
8000134,101919,Cashback Boost,Push Notification,2023-05-28,False,True
8000135,116172,Dormant Reactivation,In-App Banner,2024-05-22,False,False
8000136,107675,Cashback Boost,In-App Banner,2023-06-06,False,False
8000137,120992,Dormant Reactivation,SMS,2024-12-10,False,False
8000138,111109,Savings Goal,Push Notification,2024-01-20,False,False
8000139,107640,Cashback Boost,In-App Banner,2024-05-19,False,False
8000140,100688,Dormant Reactivation,SMS,2024-10-08,False,False
8000141,117884,Travel Card,Push Notification,2023-06-02,False,False
8000142,116964,Cashback Boost,In-App Banner,2023-05-14,False,False
8000143,117761,Savings Goal,SMS,2024-06-30,False,False
8000144,109428,Premium Upgrade,In-App Banner,2024-12-25,False,False
8000145,117471,Cashback Boost,Email,2023-05-10,False,False
8000146,114034,Cashback Boost,Email,2024-07-12,False,False
8000147,106697,Travel Card,Push Notification,2023-09-05,False,False
8000148,119657,Loan Offer,Email,2024-05-25,False,False
8000149,114908,Premium Upgrade,Email,2024-07-08,False,False
8000150,127082,Savings Goal,Email,2024-12-21,False,False
8000151,129467,Savings Goal,Email,2024-10-14,False,False
8000152,120280,Loan Offer,In-App Banner,2024-11-26,False,False
8000153,117308,Dormant Reactivation,Push Notification,2023-12-30,False,False
8000154,104098,Dormant Reactivation,Email,2023-04-10,False,False
8000155,115064,Cashback Boost,Email,2023-04-22,False,False
8000156,129433,Cashback Boost,Push Notification,2024-10-29,False,False
8000157,105622,Premium Upgrade,Email,2024-03-14,True,False
8000158,100700,Savings Goal,In-App Banner,2023-03-26,False,False
8000159,112225,Savings Goal,Email,2024-08-18,False,False
8000160,116821,Cashback Boost,In-App Banner,2024-09-02,False,False
8000161,115167,Savings Goal,Email,2023-10-06,False,False
8000162,128556,Cashback Boost,Push Notification,2023-12-15,False,False
8000163,114895,Travel Card,Email,2023-07-26,False,False
8000164,113762,Cashback Boost,Email,2024-06-04,False,False
8000165,116717,Savings Goal,Email,2024-09-20,False,True
8000166,107819,Loan Offer,Email,2024-01-19,False,False
8000167,126648,Cashback Boost,Email,2024-12-01,True,False
8000168,115611,Premium Upgrade,Push Notification,2023-01-04,False,False
8000169,110371,Premium Upgrade,SMS,2024-04-13,False,False
8000170,119255,Cashback Boost,Push Notification,2024-09-01,True,False
8000171,107524,Cashback Boost,In-App Banner,2024-06-18,False,False
8000172,117106,Cashback Boost,Push Notification,2023-02-19,False,False
8000173,120171,Travel Card,Push Notification,2024-04-11,True,False
8000174,126735,Cashback Boost,Email,2024-07-28,False,False
8000175,102479,Dormant Reactivation,Push Notification,2023-11-14,False,False
8000176,126966,Cashback Boost,Push Notification,2024-07-06,False,False
8000177,102103,Dormant Reactivation,SMS,2024-05-31,False,False
8000178,128161,Loan Offer,SMS,2024-08-04,False,False
8000179,104821,Premium Upgrade,In-App Banner,2023-02-22,False,False
8000180,110436,Travel Card,SMS,2024-11-20,False,False
8000181,114018,Savings Goal,Push Notification,2024-07-17,False,False
8000182,126983,Cashback Boost,Email,2023-04-28,True,False
8000183,119096,Travel Card,Push Notification,2024-04-29,False,False
8000184,112239,Dormant Reactivation,Email,2023-08-09,True,False
8000185,124120,Travel Card,Email,2024-01-04,False,False
8000186,101049,Travel Card,Email,2024-09-21,False,False
8000187,117419,Savings Goal,Email,2023-10-08,False,False
8000188,121650,Premium Upgrade,Email,2023-09-16,False,False
8000189,121776,Travel Card,Push Notification,2024-02-28,True,False
8000190,115876,Loan Offer,Push Notification,2023-09-25,True,False
8000191,108228,Savings Goal,SMS,2023-06-14,False,False
8000192,117612,Cashback Boost,Email,2023-07-30,False,False
8000193,125169,Travel Card,In-App Banner,2024-08-17,False,False
8000194,125814,Loan Offer,Push Notification,2024-02-11,False,False
8000195,103955,Cashback Boost,Email,2023-11-28,False,False
8000196,118764,Premium Upgrade,Push Notification,2024-11-02,False,False
8000197,104951,Premium Upgrade,Email,2024-01-15,False,False
8000198,102651,Dormant Reactivation,Email,2024-03-06,True,False
8000199,122556,Cashback Boost,In-App Banner,2024-08-08,False,False
8000200,119553,Cashback Boost,Push Notification,2024-02-29,False,False
8000201,118078,Premium Upgrade,SMS,2023-12-04,False,False
8000202,126512,Travel Card,Email,2024-02-25,False,False
8000203,120673,Travel Card,Push Notification,2023-11-05,False,False
8000204,129114,Savings Goal,Email,2023-09-26,False,False
8000205,110236,Dormant Reactivation,Email,2024-07-07,True,False
8000206,120727,Loan Offer,Push Notification,2024-02-02,False,False
8000207,128300,Travel Card,In-App Banner,2023-09-28,True,False
8000208,120873,Loan Offer,In-App Banner,2024-11-06,False,False
8000209,100844,Travel Card,Email,2024-08-13,False,False
8000210,114251,Loan Offer,In-App Banner,2023-10-04,False,False
8000211,102990,Cashback Boost,Email,2023-02-06,False,False
8000212,104085,Loan Offer,Email,2024-09-05,False,False
8000213,124602,Dormant Reactivation,Push Notification,2024-07-25,False,False
8000214,123057,Savings Goal,Email,2024-04-12,False,False
8000215,118508,Premium Upgrade,In-App Banner,2023-04-12,False,False
8000216,128559,Savings Goal,Push Notification,2024-06-09,False,False
8000217,126293,Loan Offer,Email,2024-10-20,True,False
8000218,101800,Travel Card,Email,2023-11-16,False,False
8000219,127616,Premium Upgrade,Email,2023-11-28,False,False
8000220,107070,Loan Offer,In-App Banner,2024-06-15,False,False
8000221,123719,Loan Offer,SMS,2023-09-18,False,False
8000222,102257,Loan Offer,Push Notification,2024-08-17,False,False
8000223,127890,Loan Offer,Email,2023-11-26,False,False
8000224,111185,Loan Offer,Push Notification,2024-08-25,False,False
8000225,116211,Premium Upgrade,In-App Banner,2024-07-31,False,False
8000226,900172,Loan Offer,SMS,2023-12-09,False,False
8000227,109315,Cashback Boost,Email,2024-11-04,True,False
8000228,110008,Cashback Boost,Email,2023-11-19,False,False
8000229,100018,Cashback Boost,Push Notification,2024-06-04,False,False
8000230,125110,Dormant Reactivation,Push Notification,2023-03-29,True,True
8000231,104131,Savings Goal,SMS,2023-11-30,False,False
8000232,127179,Cashback Boost,Email,2024-01-22,False,False
8000233,118933,Dormant Reactivation,In-App Banner,2023-11-30,True,False
8000234,128818,Cashback Boost,Email,2024-10-18,False,False
8000235,116614,Travel Card,Email,2023-03-05,False,False
8000236,108655,Loan Offer,Push Notification,2024-01-20,False,False
8000237,125525,Savings Goal,SMS,2024-09-01,False,False
8000238,120001,Savings Goal,Email,2024-10-06,True,False
8000239,120423,Cashback Boost,In-App Banner,2024-01-27,False,False
8000240,112729,Dormant Reactivation,In-App Banner,2023-01-27,False,False
8000241,125125,Cashback Boost,Email,2024-11-04,False,False
8000242,103216,Loan Offer,SMS,2024-11-24,True,False
8000243,120490,Cashback Boost,Push Notification,2023-06-27,False,False
8000244,117385,Cashback Boost,Email,2024-06-15,True,False
8000245,122841,Cashback Boost,Push Notification,2023-12-26,True,False
8000246,112911,Travel Card,SMS,2024-02-11,True,False
8000247,106606,Dormant Reactivation,Push Notification,2023-05-03,False,False
8000248,102317,Cashback Boost,In-App Banner,2024-05-07,False,False
8000249,115805,Dormant Reactivation,Email,2024-11-19,False,False
8000250,117040,Loan Offer,Email,2023-11-21,False,False
8000251,102691,Travel Card,In-App Banner,2023-11-24,False,False
8000252,128778,Cashback Boost,SMS,2023-07-23,False,False
8000253,105178,Premium Upgrade,In-App Banner,2024-11-26,False,False
8000254,118591,Savings Goal,SMS,2023-06-26,False,False
8000255,124334,Premium Upgrade,Push Notification,2023-11-24,False,False
8000256,128656,Dormant Reactivation,Email,2023-09-01,False,False
8000257,121813,Premium Upgrade,Push Notification,2023-07-27,False,False
8000258,126325,Travel Card,In-App Banner,2023-09-24,False,False
8000259,116429,Loan Offer,Push Notification,2023-04-03,False,False
8000260,124788,Cashback Boost,SMS,2023-02-04,False,False
8000261,102002,Premium Upgrade,Push Notification,2023-07-21,False,False
8000262,119427,Cashback Boost,Push Notification,2023-05-24,False,False
8000263,107562,Dormant Reactivation,Push Notification,2023-11-22,False,False
8000264,120544,Dormant Reactivation,Push Notification,2023-01-01,True,True
8000265,107934,Cashback Boost,Email,2024-01-06,False,False
8000266,120554,Cashback Boost,Push Notification,2023-04-11,False,False
8000267,105595,Loan Offer,In-App Banner,2023-03-26,False,False
8000268,101692,Savings Goal,Push Notification,2023-05-06,True,False
8000269,121665,Cashback Boost,Email,2024-05-07,False,False
8000270,102990,Premium Upgrade,Email,2024-07-04,False,False
8000271,110724,Loan Offer,In-App Banner,2024-05-02,False,False
8000272,120979,Loan Offer,Email,2024-07-24,False,False
8000273,112604,Cashback Boost,SMS,2023-12-25,False,False
8000274,119204,Premium Upgrade,Push Notification,2023-06-12,False,False
8000275,121215,Cashback Boost,In-App Banner,2024-07-08,False,False
8000276,121258,Savings Goal,In-App Banner,2023-08-19,True,False
8000277,106486,Loan Offer,Email,2024-03-09,False,False
8000278,116593,Premium Upgrade,SMS,2023-05-20,False,False
8000279,116236,Travel Card,Push Notification,2024-04-10,False,False
8000280,126060,Travel Card,SMS,2024-09-27,False,False
8000281,108710,Loan Offer,Email,2023-06-26,False,False
8000282,117076,Cashback Boost,SMS,2023-05-21,False,False
8000283,126025,Dormant Reactivation,Push Notification,2023-01-29,False,False
8000284,101041,Premium Upgrade,Push Notification,2024-11-03,False,False
8000285,111540,Savings Goal,In-App Banner,2023-04-28,False,True
8000286,126164,Loan Offer,Email,2023-07-07,False,False
8000287,105883,Premium Upgrade,Email,2023-03-21,False,False
8000288,115885,Cashback Boost,Email,2024-07-12,False,False
8000289,112832,Loan Offer,Email,2024-07-19,False,False
8000290,105125,Cashback Boost,Push Notification,2023-01-25,False,False
8000291,128013,Cashback Boost,Push Notification,2023-06-01,False,False
8000292,120307,Cashback Boost,SMS,2024-04-21,False,False
8000293,120318,Loan Offer,SMS,2024-08-13,False,False
8000294,113454,Loan Offer,Push Notification,2023-09-26,False,False
8000295,118517,Loan Offer,Email,2023-03-04,False,False
8000296,114438,Loan Offer,Email,2024-03-20,False,False
8000297,125354,Travel Card,Push Notification,2023-04-03,False,False
8000298,109753,Cashback Boost,Push Notification,2024-08-21,True,False
8000299,104444,Loan Offer,In-App Banner,2023-08-01,False,False
8000300,108314,Loan Offer,Email,2024-09-14,False,False
8000301,109927,Savings Goal,Push Notification,2023-07-19,False,False
8000302,118341,Cashback Boost,In-App Banner,2023-09-09,False,False
8000303,111629,Dormant Reactivation,In-App Banner,2024-10-08,False,False
8000304,116249,Premium Upgrade,In-App Banner,2024-09-10,False,False
8000305,128917,Loan Offer,In-App Banner,2024-01-14,False,False
8000306,106117,Savings Goal,Email,2024-05-03,False,False
8000307,102872,Dormant Reactivation,Email,2024-04-15,False,False
8000308,100647,Cashback Boost,Email,2023-04-13,False,False
8000309,108291,Cashback Boost,Push Notification,2023-10-17,True,False
8000310,105695,Cashback Boost,Email,2024-09-30,False,True
8000311,115195,Cashback Boost,Email,2023-01-14,False,False
8000312,107402,Savings Goal,In-App Banner,2024-05-03,False,False
8000313,113329,Travel Card,Push Notification,2024-01-02,False,False
8000314,121846,Cashback Boost,Push Notification,2023-03-18,False,False
8000315,112859,Dormant Reactivation,In-App Banner,2024-03-17,False,False
8000316,128612,Savings Goal,Push Notification,2024-09-06,False,False
8000317,101796,Cashback Boost,Email,2024-11-02,False,False
8000318,121057,Premium Upgrade,Push Notification,2023-11-16,True,False
8000319,125065,Cashback Boost,Push Notification,2023-04-11,False,False
8000320,108345,Cashback Boost,Push Notification,2023-12-11,False,False
8000321,102857,Travel Card,Push Notification,2024-08-19,False,False
8000322,100323,Savings Goal,Email,2023-06-28,False,False
8000323,124518,Premium Upgrade,SMS,2024-02-01,False,False
8000324,117359,Dormant Reactivation,Push Notification,2024-05-18,False,False
8000325,100095,Savings Goal,Email,2024-05-17,False,False
8000326,115836,Travel Card,Email,2023-08-20,True,True
8000327,124499,Premium Upgrade,Push Notification,2024-09-04,True,False
8000328,120315,Premium Upgrade,SMS,2023-02-19,False,False
8000329,127625,Savings Goal,Email,2024-04-17,True,False
8000330,110506,Premium Upgrade,Email,2023-01-16,False,False
8000331,123659,Loan Offer,In-App Banner,2024-01-17,False,False
8000332,114952,Premium Upgrade,Email,2024-09-24,False,False
8000333,117957,Premium Upgrade,Email,2024-09-23,False,False
8000334,114744,Cashback Boost,In-App Banner,2024-08-29,False,False
8000335,123905,Savings Goal,Email,2023-05-09,False,False
8000336,121253,Premium Upgrade,In-App Banner,2023-08-28,False,False
8000337,102695,Savings Goal,Email,2024-12-01,False,False
8000338,104244,Savings Goal,Email,2024-03-24,False,False
8000339,108625,Loan Offer,Email,2023-10-02,False,False
8000340,127193,Loan Offer,Push Notification,2024-07-09,False,False
8000341,108164,Savings Goal,Push Notification,2024-11-12,False,False
8000342,127824,Travel Card,Push Notification,2023-10-04,False,False
8000343,126154,Premium Upgrade,SMS,2024-07-17,False,False
8000344,123226,Premium Upgrade,Email,2023-05-05,False,False
8000345,122026,Loan Offer,Email,2023-11-29,False,False
8000346,114067,Cashback Boost,Email,2024-04-07,False,False
8000347,121668,Savings Goal,Push Notification,2024-01-10,True,False
8000348,122666,Cashback Boost,Email,2024-02-14,False,False
8000349,127526,Loan Offer,Email,2024-06-11,True,False
8000350,105958,Loan Offer,Push Notification,2024-01-04,True,False
8000351,126993,Travel Card,Email,2023-01-26,False,False
8000352,115872,Travel Card,Email,2024-04-19,False,False
8000353,127759,Premium Upgrade,Email,2024-05-26,False,False
8000354,112449,Premium Upgrade,In-App Banner,2024-07-26,False,False
8000355,129053,Savings Goal,Email,2024-03-15,False,False
8000356,126921,Travel Card,Email,2024-05-23,False,False
8000357,116035,Loan Offer,Email,2024-01-26,False,False
8000358,129115,Loan Offer,Email,2023-02-15,False,False
8000359,123199,Travel Card,Email,2024-07-28,False,False
8000360,104335,Premium Upgrade,Push Notification,2024-10-09,False,False
8000361,119274,Travel Card,In-App Banner,2024-04-28,False,False
8000362,115286,Savings Goal,In-App Banner,2024-02-04,False,False
8000363,112874,Savings Goal,Email,2024-10-06,False,False
8000364,109613,Cashback Boost,In-App Banner,2023-03-27,False,False
8000365,100469,Premium Upgrade,Push Notification,2023-02-22,False,False
8000366,110172,Loan Offer,Push Notification,2024-09-16,True,False
8000367,129459,Savings Goal,Push Notification,2023-03-05,False,False
8000368,104923,Premium Upgrade,Email,2024-08-19,False,False
8000369,111358,Cashback Boost,Email,2023-09-26,False,False
8000370,110508,Premium Upgrade,Push Notification,2023-11-15,False,False
8000371,113194,Savings Goal,Push Notification,2023-04-20,False,False
8000372,109046,Travel Card,Email,2023-05-10,False,False
8000373,109724,Savings Goal,In-App Banner,2024-02-06,False,False
8000374,112054,Savings Goal,In-App Banner,2023-07-03,False,False
8000375,110691,Loan Offer,Email,2023-09-25,False,False
8000376,125954,Premium Upgrade,Push Notification,2024-02-02,False,False
8000377,110088,Savings Goal,Push Notification,2023-02-18,True,False
8000378,121780,Travel Card,Email,2023-06-21,False,False
8000379,103238,Cashback Boost,Email,2024-10-30,False,False
8000380,123125,Loan Offer,Email,2024-06-07,False,False
8000381,123345,Cashback Boost,Email,2024-02-15,False,False
8000382,115241,Travel Card,Email,2023-11-13,False,False
8000383,127113,Cashback Boost,In-App Banner,2024-12-26,True,False
8000384,106084,Travel Card,Email,2024-03-21,False,False
8000385,117397,Dormant Reactivation,Push Notification,2024-03-24,False,False
8000386,122465,Cashback Boost,In-App Banner,2024-10-15,False,False
8000387,122141,Savings Goal,Email,2023-06-18,False,False
8000388,900331,Dormant Reactivation,Email,2023-12-26,False,False
8000389,102177,Cashback Boost,SMS,2023-06-21,False,False
8000390,103549,Loan Offer,Push Notification,2024-10-09,True,False
8000391,104391,Dormant Reactivation,Push Notification,2024-07-24,False,False
8000392,106448,Cashback Boost,Email,2023-04-20,False,False
8000393,127905,Loan Offer,Push Notification,2024-12-15,False,False
8000394,113049,Savings Goal,Push Notification,2024-09-29,True,False
8000395,102186,Travel Card,In-App Banner,2024-02-17,False,False
8000396,120250,Savings Goal,SMS,2024-06-10,False,False
8000397,900018,Premium Upgrade,In-App Banner,2023-01-13,False,False
8000398,121035,Cashback Boost,In-App Banner,2024-11-10,False,False
8000399,103066,Savings Goal,Push Notification,2024-07-09,False,False
8000400,900011,Savings Goal,Push Notification,2024-05-27,False,False
8000401,108927,Savings Goal,Email,2024-01-23,False,False
8000402,122857,Dormant Reactivation,Push Notification,2024-06-09,False,False
8000403,107088,Cashback Boost,SMS,2024-01-09,False,False
8000404,107098,Travel Card,Email,2023-07-31,False,False
8000405,104783,Cashback Boost,Push Notification,2024-08-07,False,False
8000406,126452,Cashback Boost,Push Notification,2023-05-22,False,False
8000407,115197,Savings Goal,In-App Banner,2024-01-26,False,False
8000408,104000,Loan Offer,Push Notification,2023-01-23,False,False
8000409,100499,Premium Upgrade,SMS,2024-05-23,False,False
8000410,101587,Savings Goal,Email,2024-06-30,False,False
8000411,104064,Loan Offer,Email,2023-01-12,False,False
8000412,107175,Savings Goal,SMS,2023-03-04,False,False
8000413,123497,Savings Goal,SMS,2023-09-25,False,False
8000414,109624,Loan Offer,Email,2024-09-04,False,False
8000415,100104,Loan Offer,Push Notification,2023-07-05,False,False
8000416,100609,Loan Offer,Push Notification,2024-07-20,True,True
8000417,106087,Travel Card,SMS,2024-07-21,False,False
8000418,108635,Dormant Reactivation,Email,2024-08-12,False,False
8000419,115147,Savings Goal,In-App Banner,2024-04-14,False,False
8000420,116700,Cashback Boost,Push Notification,2024-02-06,True,False
8000421,115169,Premium Upgrade,Push Notification,2023-01-14,False,False
8000422,102010,Travel Card,In-App Banner,2024-11-09,False,False
8000423,122098,Savings Goal,Push Notification,2024-05-11,True,False
8000424,120013,Travel Card,SMS,2023-10-21,False,False
8000425,121795,Dormant Reactivation,Push Notification,2023-05-06,False,False
8000426,127776,Travel Card,Email,2023-03-22,False,False
8000427,105333,Loan Offer,Push Notification,2024-07-02,True,False
8000428,120812,Cashback Boost,Push Notification,2024-06-15,False,False
8000429,128240,Savings Goal,Email,2024-09-16,False,False
8000430,112762,Cashback Boost,Email,2024-12-14,False,False
8000431,128108,Premium Upgrade,Push Notification,2023-09-19,True,False
8000432,115358,Premium Upgrade,Push Notification,2024-10-12,False,False
8000433,117225,Loan Offer,Push Notification,2023-09-20,False,False
8000434,126004,Cashback Boost,SMS,2023-07-13,False,False
8000435,105018,Cashback Boost,Email,2024-02-14,False,False
8000436,126909,Dormant Reactivation,Push Notification,2023-04-30,True,False
8000437,126840,Travel Card,Push Notification,2023-09-03,False,False
8000438,122867,Travel Card,Email,2024-01-01,False,False
8000439,120130,Cashback Boost,Email,2023-05-01,False,False
8000440,127421,Premium Upgrade,In-App Banner,2023-11-17,True,False
8000441,109195,Dormant Reactivation,Email,2023-01-07,True,True
8000442,117018,Savings Goal,Push Notification,2024-09-18,False,False
8000443,116358,Travel Card,Push Notification,2024-01-06,False,False
8000444,100423,Travel Card,Email,2023-08-22,False,True
8000445,109183,Cashback Boost,Push Notification,2024-12-08,True,False
8000446,103289,Cashback Boost,SMS,2024-02-24,False,False
8000447,107184,Savings Goal,Email,2024-08-07,True,False
8000448,900412,Travel Card,Push Notification,2024-08-23,False,False
8000449,121171,Travel Card,Push Notification,2023-07-01,False,False
8000450,107687,Cashback Boost,Email,2023-12-30,False,False
8000451,125732,Premium Upgrade,Push Notification,2024-04-04,False,False
8000452,121507,Loan Offer,Email,2024-12-25,False,False
8000453,114173,Cashback Boost,Email,2024-09-16,True,False
8000454,122875,Cashback Boost,Email,2024-06-09,False,False
8000455,118022,Loan Offer,Email,2023-05-26,False,False
