ticket_id,customer_id,ticket_date,issue_type,priority,resolution_status,satisfaction_score
7000105,110103,2023-04-14,Card Blocked,Medium,Resolved,4.0
7000106,122784,2023-03-06,Account Access,High,Resolved,4.0
7000107,110415,2024-05-16,General,Medium,Resolved,5.0
7000108,128223,2024-12-17,Failed Payment,Medium,Resolved,5.0
7000109,105754,2024-09-07,Card Blocked,Low,Unresolved,2.0
7000110,121347,2023-08-31,Failed Payment,Medium,Resolved,5.0
7000111,120753,2024-10-17,General,Medium,Escalated,2.0
7000112,124246,2024-01-27,Account Access,Medium,Unresolved,2.0
7000113,107846,2023-09-09,Account Access,Medium,Resolved,5.0
7000114,128848,2023-05-30,Account Access,Medium,Resolved,3.0
7000115,118876,2023-12-27,Loan Question,Low,Resolved,5.0
7000116,118096,2024-05-29,General,Medium,Resolved,3.0
7000117,119205,2023-06-21,Loan Question,Medium,Resolved,2.0
7000118,104152,2024-01-01,General,Medium,Resolved,4.0
7000119,121362,2023-08-20,Account Access,Critical,Resolved,3.0
7000120,102294,2023-06-17,Failed Payment,High,Escalated,2.0
7000121,112092,2023-10-27,Card Blocked,High,Resolved,3.0
7000122,117198,2023-04-05,Loan Question,Medium,Unresolved,1.0
7000123,103478,2023-01-09,KYC Delay,High,Resolved,
7000124,105409,2024-01-30,General,Medium,Resolved,4.0
7000125,114975,2023-02-26,Failed Payment,High,Resolved,5.0
7000126,110635,2023-04-26,Failed Payment,Medium,Resolved,4.0
7000127,111653,2024-09-04,Account Access,Low,Resolved,4.0
7000128,122282,2023-05-06,Loan Question,High,Resolved,3.0
7000129,113640,2023-01-03,Card Blocked,Medium,Resolved,5.0
7000130,100243,2023-05-16,Chargeback,Medium,Resolved,4.0
7000131,126657,2023-09-05,Account Access,Medium,Unresolved,1.0
7000132,107745,2023-02-16,KYC Delay,High,Resolved,4.0
7000133,116340,2024-10-08,Account Access,Medium,Resolved,5.0
7000134,101998,2023-07-31,Chargeback,High,Resolved,5.0
7000135,105284,2023-11-12,Card Blocked,Medium,Resolved,5.0
7000136,111439,2024-10-09,General,High,Resolved,
7000137,109114,2024-02-17,General,High,Resolved,4.0
7000138,127044,2023-08-28,Chargeback,High,Resolved,2.0
7000139,119631,2023-10-25,Failed Payment,Medium,Unresolved,3.0
7000140,118626,2024-02-25,Card Blocked,Low,Resolved,3.0
7000141,109644,2024-06-10,Chargeback,High,Unresolved,2.0
7000142,100730,2023-02-16,Loan Question,Medium,Resolved,
7000143,119252,2024-08-20,Card Blocked,Medium,Unresolved,2.0
7000144,100754,2024-07-09,Card Blocked,Critical,Resolved,
7000145,106517,2023-10-14,Account Access,Medium,Unresolved,2.0
7000146,128759,2023-01-22,General,Medium,Unresolved,1.0
7000147,113370,2024-11-05,Account Access,Low,Resolved,4.0
7000148,111164,2024-09-06,Account Access,Medium,Resolved,4.0
7000149,129147,2024-08-18,Chargeback,High,Resolved,4.0
7000150,117223,2023-02-15,Chargeback,High,Unresolved,2.0
7000151,114135,2023-08-13,Card Blocked,Medium,Resolved,5.0
7000152,116090,2024-11-19,Chargeback,High,Resolved,3.0
7000153,103246,2024-02-22,Account Access,Medium,Resolved,3.0
7000154,110107,2024-04-24,Account Access,Medium,Resolved,3.0
7000155,125472,2024-03-17,Failed Payment,High,Resolved,4.0
7000156,107920,2024-05-07,Chargeback,High,Resolved,5.0
7000157,107092,2023-04-21,General,Low,Resolved,5.0
7000158,129974,2024-02-01,Failed Payment,Medium,Resolved,4.0
7000159,109495,2024-10-16,Card Blocked,High,Resolved,3.0
7000160,123586,2024-03-03,Failed Payment,Critical,Escalated,1.0
7000161,115578,2023-12-15,General,Medium,Resolved,5.0
7000162,100928,2023-02-25,Failed Payment,High,Escalated,2.0
7000163,125563,2023-11-20,Card Blocked,Low,Resolved,4.0
7000164,106751,2024-03-14,Chargeback,Medium,Resolved,5.0
7000165,101279,2023-02-26,KYC Delay,Medium,Resolved,
7000166,125092,2023-04-13,Account Access,High,Resolved,4.0
7000167,101449,2023-03-20,KYC Delay,Medium,Resolved,5.0
7000168,108301,2023-06-21,Account Access,Critical,Unresolved,2.0
7000169,116323,2024-09-10,Failed Payment,Critical,Resolved,5.0
7000170,105630,2023-04-15,Failed Payment,Medium,Resolved,5.0
7000171,104746,2024-06-30,Account Access,Medium,Unresolved,2.0
7000172,109040,2024-03-19,Account Access,Medium,Unresolved,2.0
7000173,111964,2023-12-03,Card Blocked,Medium,Resolved,4.0
7000174,102127,2024-10-15,Loan Question,Medium,Resolved,4.0
7000175,127636,2023-12-02,Failed Payment,High,Resolved,5.0
7000176,112644,2024-07-18,Failed Payment,High,Resolved,3.0
7000177,127505,2023-01-28,Loan Question,High,Resolved,3.0
7000178,120250,2023-08-24,General,Critical,Resolved,5.0
7000179,102279,2024-11-26,Loan Question,High,Resolved,4.0
7000180,110571,2024-02-02,Loan Question,Medium,Unresolved,3.0
7000181,129223,2023-07-28,KYC Delay,High,Resolved,5.0
7000182,102611,2024-12-13,Account Access,Low,Resolved,4.0
7000183,123815,2023-06-10,Account Access,Medium,Resolved,5.0
7000184,105465,2024-09-18,Failed Payment,Medium,Resolved,4.0
7000185,110653,2024-12-28,Account Access,Medium,Unresolved,2.0
7000186,124054,2024-08-26,Account Access,High,Resolved,3.0
7000187,121262,2024-04-21,Account Access,Medium,Resolved,3.0
7000188,126130,2024-03-09,General,Medium,Resolved,5.0
7000189,124592,2024-03-08,Chargeback,Medium,Resolved,3.0
7000190,115658,2023-06-24,Fraud Concern,Medium,Escalated,2.0
7000191,125755,2024-09-29,Card Blocked,Medium,Unresolved,2.0
7000192,117972,2024-04-14,Failed Payment,High,Resolved,5.0
7000193,119568,2024-06-13,Card Blocked,Medium,Resolved,4.0
7000194,105549,2024-01-21,Failed Payment,High,Resolved,4.0
7000195,100078,2024-07-03,Card Blocked,Medium,Resolved,3.0
7000196,103701,2024-01-29,Failed Payment,Critical,Unresolved,2.0
7000197,128987,2024-07-11,Card Blocked,Medium,Resolved,5.0
7000198,120651,2024-11-02,Account Access,Medium,Resolved,3.0
7000199,126791,2023-04-08,Fraud Concern,Critical,Resolved,5.0
7000200,119590,2023-10-24,Loan Question,Critical,Resolved,3.0
7000201,108323,2023-05-04,Failed Payment,Critical,Resolved,4.0
7000202,110515,2024-12-04,General,Low,Resolved,5.0
7000203,124187,2024-04-23,Account Access,Low,Resolved,5.0
7000204,126771,2023-11-13,Account Access,Low,Resolved,3.0
7000205,105178,2024-11-27,KYC Delay,Medium,Resolved,4.0
7000206,110888,2024-03-27,General,Low,Unresolved,2.0
7000207,113931,2024-09-08,Account Access,Medium,Resolved,3.0
7000208,107221,2024-08-18,Account Access,High,Resolved,5.0
7000209,115519,2024-12-23,Fraud Concern,Medium,Unresolved,1.0
7000210,109677,2024-07-31,Account Access,Medium,Resolved,4.0
7000211,124097,2023-01-31,Card Blocked,Medium,Resolved,5.0
7000212,102145,2023-05-16,Card Blocked,High,Resolved,4.0
7000213,125820,2023-04-22,KYC Delay,Low,Resolved,5.0
7000214,105246,2023-10-09,Loan Question,Critical,Resolved,2.0
7000215,108554,2023-11-16,Account Access,Medium,Unresolved,2.0
7000216,110058,2023-02-05,Loan Question,Low,Resolved,5.0
7000217,103858,2023-09-24,Account Access,Medium,Resolved,4.0
7000218,113639,2023-02-17,Failed Payment,Medium,Resolved,4.0
7000219,105828,2024-06-25,KYC Delay,Low,Escalated,3.0
7000220,100543,2024-02-10,Chargeback,Medium,Resolved,4.0
7000221,100555,2024-10-27,KYC Delay,Low,Resolved,4.0
7000222,114457,2023-04-03,Failed Payment,Critical,Escalated,4.0
7000223,110257,2023-03-25,Failed Payment,Medium,Resolved,4.0
7000224,127985,2023-11-30,KYC Delay,Low,Unresolved,2.0
7000225,119697,2024-05-02,Chargeback,High,Resolved,4.0
7000226,116452,2023-10-11,Card Blocked,Low,Resolved,4.0
7000227,113960,2023-09-14,General,High,Resolved,3.0
7000228,104947,2024-01-01,Account Access,Medium,Resolved,4.0
7000229,111205,2024-03-28,Fraud Concern,Critical,Unresolved,1.0
7000230,129454,2024-06-18,Chargeback,High,Resolved,4.0
7000231,102669,2023-08-28,Failed Payment,Medium,Unresolved,1.0
7000232,112946,2024-05-24,Failed Payment,High,Resolved,
7000233,127447,2023-08-20,Account Access,High,Unresolved,
7000234,121250,2023-05-27,KYC Delay,Medium,Resolved,4.0
7000235,108741,2023-06-06,Failed Payment,Critical,Resolved,5.0
7000236,105386,2023-07-07,Card Blocked,Low,Resolved,4.0
7000237,128262,2024-06-08,Failed Payment,Critical,Resolved,5.0
7000238,101726,2024-11-24,Card Blocked,High,Resolved,5.0
7000239,126651,2023-03-23,Account Access,High,Resolved,3.0
7000240,103395,2023-06-12,KYC Delay,Critical,Resolved,5.0
7000241,103796,2023-04-14,Failed Payment,Critical,Resolved,5.0
7000242,125396,2024-05-11,Card Blocked,Medium,Unresolved,2.0
7000243,122073,2024-09-28,Failed Payment,High,Resolved,5.0
7000244,123322,2023-03-17,Fraud Concern,Medium,Resolved,5.0
7000245,122756,2023-07-07,Card Blocked,High,Resolved,5.0
7000246,104101,2024-06-11,KYC Delay,Low,Escalated,1.0
7000247,115662,2023-12-09,Loan Question,Medium,Unresolved,2.0
7000248,117228,2023-12-14,Chargeback,High,Resolved,5.0
7000249,110091,2024-09-05,Loan Question,Medium,Resolved,4.0
7000250,128999,2024-03-15,Failed Payment,Critical,Resolved,4.0
7000251,101371,2024-03-18,Loan Question,Medium,Resolved,4.0
7000252,106196,2024-07-20,Account Access,High,Unresolved,1.0
7000253,103750,2023-03-29,Card Blocked,Low,Resolved,4.0
7000254,117008,2023-08-29,General,Low,Unresolved,2.0
7000255,123992,2024-09-01,Account Access,Medium,Resolved,4.0
7000256,125491,2023-10-16,General,Medium,Resolved,5.0
7000257,127896,2024-03-03,Failed Payment,High,Resolved,4.0
7000258,111176,2024-12-27,Account Access,Critical,Resolved,4.0
7000259,125850,2023-07-30,Fraud Concern,High,Resolved,3.0
7000260,116778,2024-05-17,General,High,Escalated,3.0
7000261,120255,2024-11-12,Chargeback,Medium,Resolved,4.0
7000262,114368,2024-11-17,Card Blocked,Medium,Resolved,4.0
7000263,109523,2024-09-20,General,Low,Resolved,3.0
7000264,128080,2024-12-14,General,Medium,Unresolved,1.0
7000265,120183,2023-03-25,Fraud Concern,High,Resolved,
7000266,129283,2024-04-17,Account Access,Medium,Resolved,5.0
7000267,116105,2023-06-08,Failed Payment,High,Resolved,4.0
7000268,100224,2024-02-23,KYC Delay,High,Resolved,4.0
7000269,108239,2023-09-16,Account Access,Medium,Resolved,4.0
7000270,104183,2024-04-30,Account Access,Critical,Resolved,5.0
7000271,128030,2024-02-03,Account Access,Low,Resolved,3.0
7000272,116989,2024-02-14,Fraud Concern,Medium,Unresolved,1.0
7000273,115289,2024-03-29,Account Access,High,Resolved,3.0
7000274,119931,2023-08-24,General,Low,Resolved,4.0
7000275,124318,2024-02-12,KYC Delay,Low,Resolved,4.0
7000276,900334,2023-03-21,Loan Question,Medium,Resolved,3.0
7000277,123805,2024-06-25,General,High,Resolved,4.0
7000278,117213,2023-12-10,General,Low,Resolved,4.0
7000279,109266,2023-05-31,Account Access,Low,Resolved,4.0
7000280,127870,2024-09-03,Chargeback,High,Resolved,4.0
7000281,113057,2023-03-01,Failed Payment,High,Resolved,4.0
7000282,121583,2023-11-20,Failed Payment,Medium,Resolved,5.0
7000283,103756,2023-11-06,Account Access,Low,Resolved,5.0
7000284,109824,2023-12-29,Failed Payment,High,Resolved,
7000285,109954,2023-08-01,Chargeback,High,Resolved,4.0
7000286,118006,2023-05-11,Fraud Concern,High,Resolved,4.0
7000287,129541,2024-06-29,Loan Question,High,Resolved,4.0
7000288,115586,2024-04-15,Card Blocked,Low,Resolved,
7000289,108392,2024-12-23,Failed Payment,High,Unresolved,3.0
7000290,120556,2024-02-09,KYC Delay,Medium,Resolved,4.0
7000291,114063,2024-05-23,KYC Delay,Low,Resolved,5.0
7000292,113601,2024-12-13,Card Blocked,Critical,Resolved,5.0
7000293,107801,2024-06-11,Card Blocked,Low,Resolved,3.0
7000294,114982,2023-02-19,Card Blocked,Critical,Unresolved,2.0
7000295,103054,2023-06-17,Failed Payment,Medium,Unresolved,1.0
7000296,117234,2024-07-07,General,Medium,Resolved,4.0
7000297,111020,2024-11-14,General,Low,Resolved,3.0
7000298,118040,2023-11-27,Card Blocked,Medium,Resolved,3.0
7000299,127743,2023-05-22,General,Low,Unresolved,2.0
7000300,115994,2024-08-20,Failed Payment,Critical,Resolved,5.0
7000301,109468,2024-07-22,Loan Question,Medium,Unresolved,1.0
7000302,108449,2024-12-04,Card Blocked,Medium,Resolved,
7000303,108805,2024-07-18,Fraud Concern,Critical,Resolved,
7000304,108858,2024-06-07,Loan Question,Low,Escalated,2.0
7000305,127386,2024-03-07,KYC Delay,Medium,Unresolved,3.0
7000306,122441,2023-02-19,Failed Payment,High,Resolved,4.0
7000307,128068,2024-07-05,Loan Question,Medium,Resolved,4.0
7000308,129167,2023-08-31,Account Access,High,Resolved,
7000309,125507,2023-06-10,Failed Payment,Medium,Resolved,5.0
7000310,104424,2024-08-21,Chargeback,High,Resolved,4.0
7000311,103236,2023-06-27,General,Medium,Resolved,4.0
7000312,116825,2023-09-11,General,Critical,Resolved,4.0
7000313,106827,2023-06-07,Account Access,Low,Resolved,5.0
7000314,102377,2024-12-13,General,Medium,Resolved,
7000315,107224,2024-04-02,Loan Question,Critical,Resolved,4.0
7000316,127162,2023-09-16,Account Access,Low,Resolved,4.0
7000317,105203,2024-09-01,KYC Delay,Low,Resolved,4.0
7000318,113314,2023-06-08,KYC Delay,High,Resolved,3.0
7000319,111772,2024-12-21,Failed Payment,Critical,Resolved,4.0
7000320,900151,2024-03-02,Account Access,High,Resolved,4.0
7000321,106994,2024-07-15,Fraud Concern,Medium,Resolved,5.0
7000322,129758,2024-04-04,Account Access,High,Resolved,4.0
7000323,124586,2024-01-15,Failed Payment,Critical,Unresolved,2.0
7000324,128623,2024-01-21,Failed Payment,High,Resolved,4.0
7000325,108734,2024-04-05,KYC Delay,Low,Resolved,2.0
7000326,122762,2024-03-15,Card Blocked,Medium,Resolved,5.0
7000327,128204,2024-08-29,General,Medium,Resolved,3.0
7000328,102562,2023-04-15,KYC Delay,Medium,Unresolved,2.0
7000329,100998,2024-03-07,Account Access,Medium,Unresolved,2.0
7000330,112694,2024-09-29,Fraud Concern,High,Resolved,5.0
7000331,121412,2024-10-28,Account Access,Low,Resolved,5.0
7000332,105587,2024-09-09,Loan Question,Critical,Resolved,4.0
7000333,129331,2023-10-10,KYC Delay,Critical,Resolved,5.0
7000334,109967,2023-11-03,Account Access,Medium,Resolved,4.0
7000335,124269,2023-12-18,Failed Payment,Medium,Resolved,4.0
7000336,109384,2023-01-16,Card Blocked,Medium,Resolved,3.0
7000337,107013,2024-02-28,Loan Question,High,Resolved,
7000338,106425,2024-06-07,General,Medium,Resolved,5.0
7000339,102204,2023-01-31,Failed Payment,Medium,Resolved,4.0
7000340,106063,2023-11-19,Account Access,Low,Resolved,5.0
7000341,118568,2024-03-08,KYC Delay,High,Resolved,4.0
7000342,100469,2023-07-12,Chargeback,High,Resolved,5.0
7000343,106575,2024-10-15,Fraud Concern,High,Escalated,3.0
7000344,107148,2023-09-12,General,High,Resolved,4.0
7000345,101354,2024-04-13,Failed Payment,Medium,Resolved,4.0
7000346,126482,2023-04-24,Failed Payment,High,Resolved,4.0
7000347,121414,2024-04-02,KYC Delay,Low,Escalated,2.0
7000348,119573,2024-03-10,KYC Delay,Medium,Unresolved,2.0
7000349,101941,2024-10-10,Account Access,High,Unresolved,2.0
7000350,118555,2023-02-19,Fraud Concern,High,Resolved,5.0
7000351,121521,2023-02-16,Failed Payment,Medium,Unresolved,3.0
7000352,116939,2023-11-08,General,Medium,Resolved,4.0
7000353,113806,2024-09-07,Account Access,Medium,Unresolved,3.0
7000354,128964,2024-03-06,Chargeback,High,Resolved,4.0
7000355,107919,2023-05-10,General,Low,Resolved,3.0
7000356,128752,2023-10-20,Loan Question,Medium,Resolved,4.0
7000357,129507,2023-12-21,Account Access,Low,Unresolved,2.0
7000358,129683,2024-10-17,General,Medium,Resolved,4.0
7000359,113307,2024-10-23,Card Blocked,Medium,Resolved,3.0
7000360,123056,2023-06-01,Account Access,High,Resolved,4.0
7000361,107047,2024-01-25,Chargeback,High,Unresolved,2.0
7000362,100902,2024-07-22,General,High,Resolved,4.0
7000363,118447,2024-12-05,Account Access,Low,Escalated,3.0
7000364,112334,2024-07-23,Card Blocked,High,Resolved,4.0
7000365,104586,2024-09-23,KYC Delay,High,Resolved,4.0
7000366,101854,2023-04-09,Chargeback,High,Resolved,4.0
7000367,119496,2024-03-19,Chargeback,Medium,Escalated,3.0
7000368,124594,2024-10-14,Card Blocked,Medium,Escalated,3.0
7000369,104610,2024-11-30,Card Blocked,Medium,Escalated,
7000370,101059,2023-01-14,Failed Payment,Critical,Unresolved,1.0
7000371,106706,2023-07-06,Account Access,Medium,Resolved,
7000372,123242,2024-05-28,Account Access,Medium,Resolved,4.0
7000373,122803,2024-04-03,Account Access,Medium,Resolved,4.0
7000374,127962,2023-08-16,General,Medium,Resolved,
7000375,108581,2023-06-29,General,High,Resolved,5.0
7000376,109242,2024-09-27,KYC Delay,High,Resolved,5.0
7000377,117271,2023-01-20,Fraud Concern,Critical,Resolved,
7000378,126448,2023-09-25,Loan Question,Medium,Resolved,4.0
7000379,123458,2023-06-20,Card Blocked,Low,Escalated,
7000380,129388,2023-02-18,Chargeback,High,Escalated,3.0
7000381,108752,2024-06-24,KYC Delay,High,Resolved,4.0
7000382,126647,2024-10-15,Card Blocked,Medium,Resolved,5.0
7000383,110247,2024-04-27,Card Blocked,Medium,Escalated,2.0
7000384,104868,2024-10-20,Card Blocked,High,Unresolved,1.0
7000385,103111,2024-11-16,Failed Payment,Medium,Resolved,
7000386,106377,2023-04-23,KYC Delay,Medium,Resolved,5.0
7000387,104556,2023-05-14,Chargeback,Medium,Resolved,3.0
7000388,114420,2024-08-15,Card Blocked,Medium,Escalated,3.0
7000389,128339,2024-10-22,Failed Payment,Medium,Resolved,
7000390,127790,2023-05-12,Failed Payment,High,Resolved,5.0
7000391,125586,2024-01-17,Account Access,Low,Unresolved,1.0
7000392,110732,2024-10-23,Loan Question,Medium,Resolved,4.0
7000393,112275,2023-04-16,KYC Delay,Critical,Resolved,4.0
7000394,101416,2023-08-16,Failed Payment,High,Unresolved,
7000395,111054,2024-02-02,Chargeback,Medium,Resolved,4.0
7000396,110667,2024-08-21,Account Access,High,Unresolved,1.0
7000397,120489,2023-10-14,Failed Payment,High,Resolved,5.0
7000398,114739,2023-10-12,Chargeback,Critical,Resolved,4.0
7000399,111314,2024-01-29,Account Access,Medium,Resolved,5.0
7000400,121494,2023-06-18,Failed Payment,High,Resolved,5.0
7000401,108308,2024-08-21,General,High,Resolved,5.0
7000402,116164,2024-09-14,Fraud Concern,Medium,Resolved,4.0
7000403,125571,2024-11-08,Loan Question,Low,Unresolved,2.0
7000404,105668,2023-12-24,Loan Question,Medium,Resolved,3.0
7000405,103131,2023-09-06,Card Blocked,Medium,Escalated,
7000406,124720,2023-12-24,Chargeback,High,Resolved,5.0
7000407,102543,2024-12-19,Failed Payment,Medium,Resolved,4.0
7000408,115338,2023-12-26,General,Low,Resolved,4.0
7000409,103168,2023-10-12,Fraud Concern,Critical,Unresolved,1.0
7000410,103981,2023-02-18,Failed Payment,High,Unresolved,3.0
7000411,125382,2023-02-05,Card Blocked,Medium,Resolved,5.0
7000412,125416,2023-01-22,General,Medium,Resolved,4.0
7000413,105399,2023-02-27,Account Access,Medium,Resolved,4.0
7000414,115711,2023-07-21,Card Blocked,Medium,Resolved,3.0
7000415,121183,2023-08-04,Card Blocked,Low,Resolved,4.0
7000416,104106,2023-12-19,Fraud Concern,High,Resolved,4.0
7000417,126236,2023-07-09,General,Low,Unresolved,2.0
7000418,113482,2024-01-05,Account Access,High,Resolved,4.0
7000419,103677,2024-07-06,Account Access,Medium,Resolved,5.0
7000420,126682,2023-02-20,Failed Payment,High,Resolved,4.0
7000421,101730,2024-03-20,General,Low,Resolved,4.0
7000422,128876,2023-06-29,Loan Question,High,Resolved,4.0
7000423,104622,2024-01-31,Card Blocked,Medium,Resolved,4.0
7000424,119099,2024-01-13,Account Access,Low,Resolved,4.0
7000425,119899,2023-06-12,Fraud Concern,High,Resolved,4.0
7000426,128452,2024-04-09,Account Access,Low,Resolved,3.0
7000427,110170,2023-11-24,KYC Delay,Medium,Resolved,3.0
7000428,118241,2024-08-28,Account Access,Medium,Resolved,4.0
7000429,127142,2023-05-05,Failed Payment,Medium,Resolved,5.0
7000430,107274,2023-04-12,KYC Delay,Low,Resolved,5.0
7000431,115523,2024-06-14,General,Low,Escalated,2.0
7000432,900303,2023-06-15,General,Medium,Resolved,5.0
7000433,111400,2024-11-10,Loan Question,High,Unresolved,3.0
7000434,112716,2023-05-06,General,Medium,Resolved,4.0
7000435,112143,2023-08-28,Account Access,Low,Resolved,5.0
