loan_id,customer_id,loan_type,loan_amount,interest_rate,loan_status,start_date,default_flag
6000048,117102,Consumer Credit,11809.02,13.31,Defaulted,2024-08-01,True
6000049,115484,Personal Loan,68462.58,5.15,Active,2024-01-22,False
6000050,900281,Personal Loan,4393.01,11.96,Active,2024-04-25,False
6000051,101290,Personal Loan,17851.53,5.15,Closed,2023-04-01,False
6000052,109592,Overdraft Credit,7282.39,9.93,Active,2023-05-13,False
6000053,120638,SMB Loan,8943.67,13.11,Active,2023-11-08,False
6000054,900041,Consumer Credit,3824.77,9.5,Active,2024-06-24,False
6000055,100102,Personal Loan,6143.03,14.61,Active,2023-06-26,False
6000056,108208,Personal Loan,736.33,14.17,Closed,2022-06-05,False
6000057,110627,Consumer Credit,17412.76,10.0,Active,2024-09-06,False
6000058,117084,Consumer Credit,13591.67,11.47,Defaulted,2023-06-14,True
6000059,129728,Consumer Credit,10185.96,9.05,Active,2022-06-24,False
6000060,125104,Personal Loan,10446.26,6.42,Active,2022-09-18,False
6000061,116853,Consumer Credit,6670.42,4.95,Active,2023-08-30,False
6000062,105452,Overdraft Credit,16131.15,8.57,Active,2024-03-26,False
6000063,111858,Personal Loan,22463.92,5.79,Active,2023-05-26,False
6000064,105263,SMB Loan,7976.17,7.84,Active,2023-02-10,False
6000065,101059,Personal Loan,12528.19,13.98,Active,2023-07-24,False
6000066,113756,Personal Loan,11953.71,11.4,Closed,2022-12-30,False
6000067,111147,Personal Loan,7504.8,7.33,Active,2024-05-13,False
6000068,119048,Consumer Credit,14894.13,16.3,Active,2024-06-24,False
6000069,125499,SMB Loan,6292.11,7.15,Active,2023-02-09,False
6000070,111185,Consumer Credit,5707.01,4.71,Closed,2023-03-02,False
6000071,100875,SMB Loan,4239.73,7.43,Closed,2023-09-17,False
6000072,126039,Personal Loan,7769.74,15.17,Active,2024-05-24,False
6000073,120852,Personal Loan,12675.92,8.51,Active,2023-07-26,False
6000074,123056,Overdraft Credit,24123.71,5.11,Active,2023-06-08,False
6000075,101373,Consumer Credit,10777.68,11.29,Active,2024-04-17,False
6000076,118146,Overdraft Credit,38332.28,7.4,Active,2023-07-30,False
6000077,120786,Overdraft Credit,21211.44,13.45,Closed,2022-06-26,False
6000078,104674,Consumer Credit,8947.62,13.8,Defaulted,2023-12-12,True
6000079,124503,Overdraft Credit,13250.39,10.93,Active,2023-11-05,False
6000080,120390,Consumer Credit,12581.48,4.82,Closed,2024-01-03,False
6000081,116928,Personal Loan,10914.04,13.0,Active,2023-02-12,False
6000082,103234,SMB Loan,71586.5,5.37,Closed,2024-06-04,False
6000083,116591,Consumer Credit,134051.66,15.85,Active,2023-06-29,False
6000084,107559,Personal Loan,5767.46,13.4,Closed,2023-09-13,False
6000085,106878,SMB Loan,11463.29,9.74,Active,2024-07-27,False
6000086,123758,Personal Loan,2801.78,9.79,Defaulted,2023-09-29,True
6000087,108719,SMB Loan,9112.37,4.73,Active,2022-07-15,False
6000088,102452,Personal Loan,2940.07,14.29,Closed,2023-10-03,False
6000089,106252,Consumer Credit,4574.55,4.71,Active,2024-04-08,False
6000090,100426,Overdraft Credit,5554.05,10.9,Active,2022-07-05,False
6000091,116548,Consumer Credit,57193.03,10.39,Defaulted,2023-08-02,True
6000092,111105,Overdraft Credit,4416.39,9.71,Active,2022-11-11,False
6000093,110750,Consumer Credit,1843.81,6.26,Active,2024-03-24,False
6000094,118050,Consumer Credit,15208.22,15.91,Active,2023-04-16,False
6000095,900325,SMB Loan,5140.24,10.56,Closed,2024-06-10,False
6000096,116463,Overdraft Credit,3251.7,15.53,Active,2023-12-14,False
6000097,121227,Overdraft Credit,1882.29,12.61,Active,2023-04-02,False
6000098,124045,Personal Loan,34807.28,15.17,Active,2022-11-10,False
6000099,127494,Personal Loan,5713.1,7.22,Closed,2022-07-30,False
6000100,111175,Consumer Credit,4641.18,4.79,Closed,2023-07-17,False
6000101,102995,Personal Loan,3261.59,9.93,Active,2024-05-16,False
6000102,109836,Overdraft Credit,32764.72,5.23,Active,2023-10-25,False
6000103,109275,SMB Loan,28069.66,12.03,Active,2024-06-17,False
6000104,101926,SMB Loan,13164.26,12.22,Active,2022-10-18,False
6000105,102971,SMB Loan,1852.37,6.77,Active,2024-08-21,False
6000106,120974,Consumer Credit,15865.4,8.83,Closed,2022-07-06,False
6000107,108246,Consumer Credit,4661.22,6.37,Active,2023-10-18,False
6000108,112192,Consumer Credit,6140.68,6.19,Active,2024-01-28,False
6000109,120661,SMB Loan,8150.16,7.06,Defaulted,2023-03-15,True
6000110,128738,Personal Loan,5900.75,5.0,Active,2023-05-21,False
6000111,127160,SMB Loan,5569.17,12.94,Closed,2022-07-13,False
6000112,106992,Consumer Credit,2823.49,13.97,Closed,2023-07-22,False
6000113,122744,Consumer Credit,51342.9,14.48,Closed,2023-10-09,False
6000114,116309,SMB Loan,28766.57,13.76,Closed,2022-08-11,False
6000115,123217,Consumer Credit,28542.06,8.57,Active,2024-06-04,False
6000116,125010,SMB Loan,10873.91,9.31,Defaulted,2023-04-20,True
6000117,120698,Personal Loan,8200.13,4.79,Active,2023-10-24,False
6000118,125231,Overdraft Credit,10106.74,10.87,Active,2024-01-02,False
6000119,129292,Personal Loan,6627.71,6.52,Active,2023-10-29,False
6000120,111277,Overdraft Credit,10420.92,12.17,Active,2024-07-29,False
6000121,114915,SMB Loan,4171.24,5.39,Active,2023-09-05,False
6000122,122001,Personal Loan,5302.97,6.21,Active,2023-03-14,False
6000123,124547,Consumer Credit,19569.92,6.26,Active,2024-07-25,False
6000124,107430,Personal Loan,13206.34,8.48,Closed,2022-07-25,False
6000125,121551,Personal Loan,24005.0,9.55,Defaulted,2023-05-23,True
6000126,116931,Personal Loan,19555.95,9.1,Active,2023-07-13,False
6000127,113319,Personal Loan,14563.5,5.52,Active,2024-01-06,False
6000128,124399,Consumer Credit,5443.42,11.08,Active,2022-08-25,False
6000129,120429,Personal Loan,4616.54,11.53,Active,2024-08-12,False
6000130,101215,Personal Loan,7911.15,4.6,Closed,2022-08-26,False
6000131,120137,Overdraft Credit,5672.98,9.04,Active,2024-04-22,False
6000132,117351,SMB Loan,13249.47,12.35,Active,2024-05-29,False
6000133,103580,SMB Loan,11572.82,7.83,Closed,2023-11-07,False
6000134,109286,Personal Loan,2452.0,11.3,Active,2023-01-03,False
6000135,127048,Personal Loan,34432.56,14.69,Active,2023-06-12,False
6000136,117207,SMB Loan,7960.01,10.4,Active,2023-03-19,False
6000137,113047,Personal Loan,15684.09,6.56,Closed,2024-06-18,False
6000138,102537,Personal Loan,15756.55,10.81,Active,2023-01-18,False
6000139,115181,Personal Loan,23204.39,13.99,Closed,2023-12-30,False
6000140,126345,Personal Loan,9845.92,13.95,Active,2023-04-29,False
6000141,127125,Consumer Credit,5689.71,6.79,Active,2022-08-11,False
6000142,108218,Overdraft Credit,9266.75,9.76,Active,2023-07-12,False
6000143,102113,Personal Loan,18087.09,5.96,Active,2023-10-04,False
6000144,121970,Overdraft Credit,25541.95,9.4,Closed,2024-09-27,False
6000145,100940,Overdraft Credit,6887.41,7.3,Active,2024-09-19,False
6000146,102456,Personal Loan,18270.18,12.98,Active,2022-12-08,False
6000147,116478,Personal Loan,7756.57,7.89,Active,2023-01-12,False
6000148,103754,Overdraft Credit,7813.84,9.71,Closed,2022-11-16,False
6000149,118193,Personal Loan,20640.02,13.92,Active,2023-04-16,False
6000150,101201,SMB Loan,3412.99,15.38,Active,2023-07-14,False
6000151,102603,Personal Loan,3516.11,10.93,Active,2022-11-23,False
6000152,117195,Personal Loan,6939.11,12.11,Active,2023-05-17,False
6000153,110173,Personal Loan,17757.1,11.81,Active,2023-10-04,False
6000154,102967,Consumer Credit,3023.58,5.73,Active,2024-04-21,False
6000155,128494,SMB Loan,4910.62,11.39,Active,2024-01-27,False
6000156,125313,Personal Loan,32230.29,9.63,Active,2022-12-31,False
6000157,120253,Personal Loan,5049.9,8.34,Defaulted,2023-04-27,True
6000158,112132,Overdraft Credit,4680.91,8.59,Closed,2023-05-06,False
6000159,113825,Personal Loan,5594.6,7.77,Active,2024-01-18,False
6000160,109415,Personal Loan,13078.22,10.17,Active,2024-09-28,False
6000161,122458,Overdraft Credit,11505.31,13.83,Active,2024-04-09,False
6000162,107770,Consumer Credit,51396.98,5.9,Active,2022-07-19,False
6000163,110501,SMB Loan,6092.51,11.77,Active,2022-10-02,False
6000164,110452,Personal Loan,13212.6,8.57,Active,2024-08-08,False
6000165,105353,Personal Loan,11140.9,12.88,Active,2022-11-21,False
6000166,109024,Personal Loan,14650.63,16.23,Active,2023-12-04,False
6000167,125102,Consumer Credit,8055.06,7.6,Closed,2022-09-16,False
6000168,113969,Consumer Credit,24270.94,12.1,Active,2023-09-20,False
6000169,128048,Consumer Credit,6824.32,5.71,Active,2024-01-02,False
6000170,125807,Personal Loan,7183.04,14.07,Active,2023-09-22,False
6000171,121947,SMB Loan,6326.19,12.77,Closed,2024-02-19,False
6000172,112104,Consumer Credit,18077.06,8.65,Active,2023-08-08,False
6000173,110005,SMB Loan,4780.41,6.53,Active,2024-05-19,False
6000174,122104,Consumer Credit,5920.48,5.45,Active,2022-11-08,False
6000175,107038,Personal Loan,32664.9,5.57,Active,2022-11-21,False
6000176,125665,SMB Loan,8222.37,13.54,Active,2023-12-21,False
6000177,112037,Overdraft Credit,30203.46,15.48,Active,2023-02-21,False
6000178,125949,SMB Loan,2884.57,11.36,Active,2024-05-26,False
6000179,104124,Overdraft Credit,37021.37,6.68,Active,2022-10-16,False
6000180,100627,Consumer Credit,3028.76,10.79,Closed,2023-04-17,False
6000181,123102,Personal Loan,11168.73,6.33,Active,2023-12-04,False
6000182,123641,SMB Loan,15564.67,12.2,Active,2022-06-07,False
6000183,100631,Consumer Credit,18293.13,13.44,Defaulted,2024-06-28,True
6000184,120166,Personal Loan,12243.23,9.96,Active,2024-08-04,False
6000185,103406,Consumer Credit,8639.7,8.42,Active,2024-01-29,False
6000186,107891,Consumer Credit,17140.38,12.49,Active,2022-12-25,False
6000187,123407,Overdraft Credit,6084.16,5.05,Closed,2024-04-13,False
6000188,129211,Personal Loan,3677.07,4.6,Active,2024-04-12,False
6000189,110673,Consumer Credit,11422.44,11.74,Active,2024-03-28,False
6000190,113295,Consumer Credit,14129.67,9.96,Defaulted,2023-03-29,True
6000191,126371,Consumer Credit,3975.91,14.66,Closed,2023-10-30,False
6000192,112705,Personal Loan,9444.19,6.38,Active,2023-11-19,False
6000193,118106,Overdraft Credit,11000.8,6.99,Closed,2024-09-08,False
6000194,112051,Consumer Credit,21575.26,15.06,Active,2024-04-30,False
6000195,113244,Consumer Credit,7077.99,12.79,Active,2023-03-07,False
6000196,103150,Consumer Credit,4348.02,6.53,Active,2023-02-03,False
6000197,115481,Personal Loan,3048.45,5.48,Closed,2024-05-05,False
6000198,108331,Personal Loan,9347.79,5.79,Active,2024-02-12,False
6000199,124792,SMB Loan,34661.51,13.7,Active,2022-06-04,False
6000200,129541,Personal Loan,3591.07,6.99,Closed,2022-07-10,False
6000201,116394,Personal Loan,4059.32,4.54,Closed,2022-09-29,False
6000202,127511,Personal Loan,7290.08,4.68,Active,2023-11-01,False
6000203,110114,Personal Loan,7381.43,6.61,Active,2024-06-23,False
6000204,128946,SMB Loan,2367.74,11.72,Closed,2022-10-17,False
6000205,107392,Consumer Credit,4396.61,14.83,Active,2023-10-21,False
6000206,115234,Overdraft Credit,14972.81,8.82,Active,2023-04-21,False
6000207,102396,Personal Loan,27530.59,5.49,Active,2022-07-06,False
6000208,121599,Personal Loan,6676.26,9.41,Active,2023-02-12,False
6000209,121627,Personal Loan,12810.0,11.35,Closed,2023-04-30,False
6000210,112460,SMB Loan,9372.08,10.88,Active,2023-05-14,False
6000211,103591,Personal Loan,12251.92,4.77,Active,2024-08-14,False
6000212,900368,Personal Loan,42119.32,11.36,Active,2023-06-25,False
6000213,109120,Personal Loan,3726.97,10.84,Closed,2023-04-21,False
6000214,111349,Overdraft Credit,21677.03,11.74,Active,2023-08-10,False
6000215,105016,Consumer Credit,15738.1,15.03,Closed,2024-03-23,False
6000216,114398,Personal Loan,2964.45,5.79,Active,2024-03-20,False
6000217,119080,Consumer Credit,24306.45,9.11,Active,2023-02-13,False
6000218,117846,Personal Loan,5181.97,12.87,Active,2023-02-01,False
6000219,114707,Personal Loan,2275.39,13.22,Active,2024-01-13,False
6000220,118849,Overdraft Credit,28712.55,6.64,Active,2023-02-16,False
6000221,129770,Overdraft Credit,18798.06,8.38,Active,2024-01-24,False
6000222,103194,SMB Loan,16726.03,7.91,Active,2023-12-27,False
6000223,125922,Overdraft Credit,9023.37,11.38,Active,2023-03-14,False
6000224,108485,Consumer Credit,6111.14,15.22,Active,2023-07-18,False
6000225,126887,Consumer Credit,13915.09,15.35,Active,2024-01-03,False
6000226,117792,Personal Loan,16730.03,9.53,Active,2023-11-06,False
6000227,900186,Personal Loan,67301.5,11.68,Closed,2022-06-16,False
6000228,127473,Consumer Credit,3853.98,13.31,Active,2023-03-03,False
6000229,117539,Overdraft Credit,22893.63,6.4,Active,2023-01-29,False
6000230,117730,Personal Loan,7553.28,4.63,Active,2023-11-20,False
6000231,114531,Personal Loan,11693.49,6.25,Closed,2023-05-28,False
6000232,116824,Overdraft Credit,2953.64,6.83,Closed,2023-12-06,False
6000233,105802,Personal Loan,10732.69,13.08,Active,2024-07-19,False
6000234,109282,Consumer Credit,13168.22,5.65,Defaulted,2022-12-26,True
6000235,111798,SMB Loan,6917.56,10.35,Active,2024-04-18,False
6000236,129884,SMB Loan,5073.24,7.98,Active,2024-04-15,False
6000237,106391,Personal Loan,8206.78,15.36,Active,2024-02-07,False
6000238,127414,SMB Loan,3828.53,9.58,Active,2022-08-22,False
6000239,124101,SMB Loan,15727.42,15.43,Closed,2023-05-09,False
6000240,104475,Overdraft Credit,3200.29,10.11,Defaulted,2023-05-16,True
6000241,122312,Personal Loan,7169.41,6.25,Active,2023-06-02,False
6000242,117036,Consumer Credit,2964.84,5.39,Active,2022-10-18,False
6000243,124161,Personal Loan,1968.45,10.56,Active,2022-07-08,False
6000244,127657,SMB Loan,12799.36,9.09,Closed,2023-03-09,False
6000245,126708,Personal Loan,2895.92,9.36,Active,2023-06-28,False
6000246,110285,Personal Loan,48988.23,7.47,Closed,2022-10-07,False
6000247,126617,Consumer Credit,10973.08,15.2,Active,2023-08-23,False
6000248,108295,Personal Loan,10441.88,10.8,Active,2022-07-21,False
6000249,112113,Consumer Credit,2591.54,11.42,Active,2023-11-03,False
6000250,106218,Consumer Credit,12269.92,13.79,Closed,2022-07-31,False
6000251,107615,Consumer Credit,16193.71,14.57,Active,2024-09-21,False
6000252,120077,SMB Loan,15983.11,9.92,Closed,2023-06-03,False
6000253,113814,Consumer Credit,3363.72,11.14,Active,2024-04-26,False
6000254,113822,Personal Loan,7298.78,9.67,Closed,2023-05-14,False
6000255,119898,Overdraft Credit,5757.76,15.53,Active,2024-07-23,False
6000256,106309,Personal Loan,7237.01,12.47,Active,2022-10-23,False
6000257,109866,Consumer Credit,7652.52,8.79,Active,2023-06-11,False
6000258,125816,Consumer Credit,17626.11,4.87,Closed,2023-07-11,False
6000259,118971,Consumer Credit,15830.06,13.94,Active,2023-01-07,False
6000260,126579,Overdraft Credit,13894.98,8.2,Active,2024-07-27,False
6000261,120211,SMB Loan,29625.0,5.64,Active,2023-08-16,False
6000262,122647,Personal Loan,3582.31,15.72,Active,2023-05-07,False
6000263,106625,Overdraft Credit,11063.85,8.35,Defaulted,2024-05-29,True
6000264,900042,Consumer Credit,5194.23,12.09,Closed,2022-09-08,False
6000265,104694,Overdraft Credit,10691.1,11.54,Active,2024-01-13,False
6000266,104707,Overdraft Credit,6573.69,16.01,Closed,2022-09-23,False
6000267,119885,Personal Loan,6155.34,14.39,Closed,2023-10-01,False
6000268,100906,Personal Loan,2043.19,5.1,Active,2024-07-23,False
6000269,100095,Consumer Credit,3483.58,12.7,Active,2023-12-29,False
6000270,111558,Consumer Credit,17429.67,11.96,Active,2024-07-17,False
6000271,113867,Overdraft Credit,15966.22,5.41,Closed,2023-07-23,False
6000272,108142,SMB Loan,2906.11,6.44,Active,2024-05-05,False
6000273,126338,Consumer Credit,23670.83,7.15,Active,2024-01-24,False
6000274,118910,Personal Loan,23328.63,11.99,Closed,2023-01-02,False
6000275,106521,Personal Loan,15418.74,7.68,Active,2024-06-19,False
6000276,118292,Overdraft Credit,4924.78,6.92,Active,2024-01-18,False
6000277,110296,Personal Loan,8857.77,8.73,Active,2022-12-21,False
6000278,109372,Personal Loan,5667.38,10.49,Defaulted,2022-08-05,True
6000279,107682,Personal Loan,6904.13,14.79,Active,2024-09-29,False
6000280,115232,Personal Loan,4526.33,9.72,Active,2023-11-02,False
6000281,126849,Overdraft Credit,8001.69,15.79,Closed,2024-04-11,False
6000282,126343,SMB Loan,6194.16,14.7,Active,2024-02-12,False
6000283,114736,SMB Loan,2147.11,10.91,Closed,2023-07-11,False
6000284,106195,Personal Loan,19505.19,10.05,Active,2022-09-17,False
6000285,123719,Consumer Credit,7940.42,7.92,Closed,2023-03-28,False
6000286,129260,Personal Loan,5947.42,14.73,Active,2023-09-27,False
6000287,114963,Personal Loan,4796.81,7.95,Active,2024-08-21,False
6000288,123336,Personal Loan,8110.52,15.26,Active,2024-04-17,False
6000289,101955,Personal Loan,20308.63,9.58,Closed,2023-12-06,False
6000290,104275,Personal Loan,6951.75,10.64,Active,2022-11-04,False
6000291,105648,Consumer Credit,5786.46,16.25,Active,2023-10-23,False
6000292,129440,Overdraft Credit,7608.44,8.51,Active,2023-04-23,False
6000293,119339,Personal Loan,8712.75,9.25,Active,2023-10-15,False
6000294,107531,Personal Loan,4502.55,12.88,Active,2023-01-21,False
6000295,100911,Consumer Credit,9836.63,7.58,Closed,2022-10-02,False
6000296,109375,SMB Loan,15376.2,12.82,Active,2022-12-21,False
6000297,118795,SMB Loan,7474.01,8.68,Active,2023-08-17,False
6000298,115547,Personal Loan,22825.69,5.61,Active,2023-01-01,False
6000299,120838,Personal Loan,11354.3,16.1,Closed,2023-04-28,False
6000300,102713,Overdraft Credit,4568.4,13.24,Active,2023-10-20,False
6000301,125043,Personal Loan,37674.13,13.91,Active,2024-04-24,False
6000302,101876,Consumer Credit,2869.35,7.4,Active,2023-05-09,False
6000303,110677,Personal Loan,15366.86,12.85,Active,2023-10-27,False
6000304,115760,SMB Loan,11092.24,14.51,Active,2023-04-03,False
6000305,102993,Personal Loan,52573.22,15.98,Closed,2023-04-30,False
6000306,100858,Personal Loan,8675.42,5.47,Active,2023-03-02,False
6000307,127730,Consumer Credit,7933.56,8.85,Active,2022-11-15,False
6000308,108036,SMB Loan,2611.83,8.01,Closed,2022-09-03,False
6000309,117338,SMB Loan,10828.06,11.17,Active,2023-05-12,False
6000310,114738,Personal Loan,18325.15,15.43,Active,2024-04-06,False
6000311,118227,Personal Loan,12974.19,15.36,Closed,2024-09-09,False
6000312,123493,Personal Loan,17612.89,16.37,Active,2024-09-21,False
6000313,126434,Consumer Credit,2288.96,15.97,Active,2023-11-26,False
6000314,110865,Personal Loan,18001.44,7.58,Active,2023-09-23,False
6000315,118160,Consumer Credit,9844.87,11.54,Closed,2022-06-21,False
6000316,112412,SMB Loan,671.98,14.59,Closed,2024-06-26,False
6000317,111831,Personal Loan,4240.12,5.88,Closed,2022-09-12,False
6000318,111186,Overdraft Credit,5884.61,9.72,Defaulted,2024-03-15,True
6000319,102813,Consumer Credit,4420.96,6.43,Closed,2024-09-22,False
6000320,119025,SMB Loan,17225.78,5.62,Active,2022-10-18,False
6000321,111227,SMB Loan,11193.71,12.05,Active,2024-08-07,False
6000322,114868,SMB Loan,8918.18,16.08,Active,2024-01-19,False
6000323,100530,Consumer Credit,6711.86,7.63,Active,2024-03-03,False
6000324,121371,Personal Loan,30493.89,6.11,Closed,2022-08-09,False
6000325,111038,Consumer Credit,2975.85,8.49,Active,2023-11-26,False
6000326,122597,Overdraft Credit,17720.64,12.6,Active,2024-01-01,False
6000327,119810,Personal Loan,4332.8,10.46,Active,2024-09-12,False
6000328,100015,Consumer Credit,15740.02,11.37,Active,2023-05-24,False
6000329,128883,Consumer Credit,11225.86,15.54,Closed,2023-11-13,False
6000330,128034,Consumer Credit,27574.93,15.32,Closed,2024-09-22,False
6000331,109089,Personal Loan,18657.95,10.99,Closed,2022-11-13,False
6000332,900496,Consumer Credit,12057.18,14.15,Active,2023-04-29,False
6000333,122922,Consumer Credit,18985.99,5.97,Active,2023-02-14,False
6000334,113279,SMB Loan,8997.05,10.74,Closed,2024-05-22,False
6000335,114082,Personal Loan,19335.67,14.03,Active,2023-06-23,False
6000336,103029,Personal Loan,2275.35,11.12,Active,2024-07-11,False
6000337,103874,Personal Loan,8993.53,9.84,Active,2024-05-08,False
6000338,128950,Personal Loan,38227.95,16.27,Active,2024-01-24,False
6000339,102891,Personal Loan,10603.74,15.81,Active,2023-09-12,False
6000340,102032,Personal Loan,4707.41,12.51,Closed,2024-05-27,False
6000341,110717,Consumer Credit,5812.0,11.44,Active,2023-10-01,False
6000342,122420,Consumer Credit,29866.37,14.31,Closed,2022-09-28,False
6000343,109443,Overdraft Credit,13644.81,6.03,Active,2023-10-01,False
6000344,102971,SMB Loan,17652.88,13.02,Active,2024-04-29,False
6000345,115392,Personal Loan,10807.72,11.85,Active,2024-02-23,False
6000346,119615,Personal Loan,5566.13,12.44,Closed,2024-03-29,False
6000347,108927,Consumer Credit,15846.45,8.42,Closed,2023-05-05,False
6000348,115205,Consumer Credit,10668.27,12.88,Active,2024-05-27,False
6000349,119753,Overdraft Credit,10149.09,8.9,Active,2022-06-08,False
6000350,106580,Personal Loan,3422.67,6.06,Active,2024-05-22,False
6000351,106988,Personal Loan,8057.23,13.08,Active,2023-09-30,False
6000352,122466,Overdraft Credit,27791.74,13.46,Active,2023-12-24,False
6000353,110150,Personal Loan,8668.09,10.06,Defaulted,2023-01-04,True
6000354,129381,Consumer Credit,5035.68,15.02,Active,2022-06-11,False
6000355,114799,Personal Loan,5710.25,5.82,Closed,2023-04-05,False
6000356,115933,SMB Loan,11901.25,7.65,Active,2023-12-31,False
6000357,109388,SMB Loan,13170.91,11.95,Closed,2022-12-21,False
6000358,108724,Personal Loan,9082.03,8.36,Defaulted,2023-10-29,True
6000359,129501,Personal Loan,9030.71,14.14,Active,2023-01-07,False
6000360,111274,Overdraft Credit,20524.27,8.67,Closed,2022-12-03,False
6000361,115003,Consumer Credit,2650.27,7.08,Closed,2023-07-24,False
6000362,108000,Personal Loan,30315.55,16.35,Closed,2024-09-19,False
6000363,106830,Personal Loan,44168.83,4.69,Closed,2022-11-22,False
6000364,124934,SMB Loan,25263.38,8.03,Active,2022-07-14,False
6000365,128092,Consumer Credit,6652.07,5.28,Closed,2024-05-10,False
6000366,107067,Personal Loan,14654.02,15.03,Closed,2022-08-02,False
6000367,126493,Personal Loan,2804.24,5.63,Active,2023-06-20,False
6000368,110111,Personal Loan,9831.73,7.54,Active,2024-04-27,False
6000369,900044,Consumer Credit,31466.1,10.3,Closed,2024-06-12,False
6000370,119075,Personal Loan,14281.67,6.59,Closed,2022-10-23,False
6000371,118331,Personal Loan,9103.62,12.71,Active,2022-12-11,False
6000372,114318,SMB Loan,48792.11,8.82,Active,2024-06-19,False
6000373,114018,Personal Loan,9055.37,7.89,Active,2023-08-18,False
6000374,101959,SMB Loan,11357.08,11.75,Active,2022-09-25,False
6000375,111090,Personal Loan,4983.66,7.15,Active,2023-09-12,False
6000376,105446,Consumer Credit,10907.48,15.77,Closed,2024-02-18,False
6000377,126393,Consumer Credit,4494.23,7.59,Active,2022-07-20,False
6000378,115799,Personal Loan,35443.99,12.3,Active,2023-12-22,False
6000379,125628,Consumer Credit,10395.3,8.93,Active,2022-10-16,False
6000380,121574,SMB Loan,9816.73,8.91,Active,2024-05-01,False
6000381,113829,Personal Loan,13913.85,10.08,Active,2024-01-28,False
6000382,119382,Overdraft Credit,40970.78,8.02,Closed,2023-09-29,False
6000383,103517,Consumer Credit,2641.83,12.17,Active,2022-09-06,False
6000384,126827,Overdraft Credit,10370.99,14.79,Active,2022-08-17,False
6000385,120748,Consumer Credit,5145.17,11.26,Closed,2024-01-05,False
