flag_id,transaction_id,customer_id,flag_reason,risk_score,investigation_status
9000050,4235493,129101,High-risk merchant,92.2,Confirmed Fraud
9000051,4041895,116890,Late-night transaction,72.7,Cleared
9000052,4179052,128127,Unusual amount,94.4,Confirmed Fraud
9000053,4091710,127102,Unusual amount,92.8,Confirmed Fraud
9000054,4007790,125457,Failed/reversed activity,69.5,Confirmed Fraud
9000055,4075793,111808,Unusual amount,62.6,Confirmed Fraud
9000056,4209113,109079,Failed/reversed activity,88.8,Open
9000057,4119996,104658,Unusual amount,90.8,Cleared
9000058,4099743,109804,Failed/reversed activity,95.4,Cleared
9000059,4027824,125473,Failed/reversed activity,60.2,Cleared
9000060,4064860,106680,Failed/reversed activity,66.6,Cleared
9000061,4057856,123154,High-risk merchant,87.7,Confirmed Fraud
9000062,4199333,127154,Unusual amount,88.5,Cleared
9000063,4004973,102698,Unusual amount,67.5,Confirmed Fraud
9000064,4115719,119917,Unusual amount,71.1,Cleared
9000065,4100854,125803,Late-night transaction,66.2,Cleared
9000066,4171574,128613,Unusual amount,89.2,Open
9000067,4169526,115420,High-risk merchant,77.1,Open
9000068,4078259,107215,Failed/reversed activity,67.7,Cleared
9000069,4021064,115179,Failed/reversed activity,93.4,Cleared
9000070,4175898,125911,Late-night transaction,67.6,Cleared
9000071,4178676,123955,Late-night transaction,66.6,Cleared
9000072,4183928,118739,Failed/reversed activity,62.9,Cleared
9000073,4172421,127322,Late-night transaction,60.8,Escalated
9000074,4128905,106450,Late-night transaction,57.4,Cleared
9000075,4030920,120081,High-risk merchant,67.5,Cleared
9000076,4087759,126119,Unusual amount,93.9,Open
9000077,4134621,113596,Late-night transaction,75.6,Cleared
9000078,4127965,110329,Late-night transaction,96.1,Open
9000079,4171786,129571,Failed/reversed activity,86.5,Cleared
9000080,4076490,128853,Late-night transaction,78.3,Confirmed Fraud
9000081,4127541,107771,Failed/reversed activity,56.4,Escalated
9000082,4123604,108685,Unusual amount,56.4,Confirmed Fraud
9000083,4174883,103769,High-risk merchant,93.8,Cleared
9000084,4081927,104745,Late-night transaction,93.5,Cleared
9000085,4159931,100872,Late-night transaction,82.3,Cleared
9000086,4104002,119424,Unusual amount,80.8,Confirmed Fraud
9000087,4236135,113822,Late-night transaction,56.4,Cleared
9000088,4006538,121716,High-risk merchant,92.0,Cleared
9000089,4017481,103010,Failed/reversed activity,56.1,Cleared
9000090,4093416,121282,Failed/reversed activity,97.8,Cleared
9000091,4163276,103933,Late-night transaction,73.0,Open
9000092,4215569,126546,High-risk merchant,65.7,Cleared
9000093,4234806,900380,Unusual amount,86.4,Cleared
9000094,4220269,123725,High-risk merchant,78.8,Cleared
9000095,4158541,121018,Failed/reversed activity,86.2,Confirmed Fraud
9000096,4218249,119827,Failed/reversed activity,63.0,Cleared
9000097,4083220,129376,High-risk merchant,55.9,Open
9000098,4001338,124127,Failed/reversed activity,92.1,Cleared
9000099,4132468,107117,Failed/reversed activity,57.7,Cleared
9000100,4029291,125999,High-risk merchant,79.8,Open
9000101,4051962,111812,Late-night transaction,98.0,Escalated
9000102,4188449,115735,Failed/reversed activity,80.9,Confirmed Fraud
9000103,4171088,100310,High-risk merchant,91.0,Cleared
9000104,4042027,127520,Failed/reversed activity,62.0,Cleared
9000105,4040905,129892,Unusual amount,71.6,Cleared
9000106,4154624,110843,Unusual amount,68.1,Confirmed Fraud
9000107,4035945,129295,High-risk merchant,78.0,Open
9000108,4027578,125036,Late-night transaction,94.4,Cleared
9000109,4001881,124442,Unusual amount,94.0,Confirmed Fraud
9000110,4155042,128024,Unusual amount,56.4,Escalated
9000111,4169390,116360,Failed/reversed activity,96.0,Cleared
9000112,4140336,128658,High-risk merchant,83.4,Open
9000113,4007765,117077,Unusual amount,58.1,Confirmed Fraud
9000114,4239813,110731,Unusual amount,72.5,Open
9000115,4213734,104863,Unusual amount,57.5,Cleared
9000116,4211323,110222,High-risk merchant,58.7,Open
9000117,4014898,127777,Late-night transaction,93.4,Cleared
9000118,4208119,113842,Late-night transaction,67.6,Cleared
9000119,4155100,101508,Unusual amount,76.8,Confirmed Fraud
9000120,4149563,129890,Late-night transaction,69.0,Cleared
9000121,4090060,128788,Failed/reversed activity,98.9,Escalated
9000122,4071222,121587,High-risk merchant,72.4,Cleared
9000123,4075570,110322,Failed/reversed activity,81.9,Cleared
9000124,4231062,120191,Failed/reversed activity,87.1,Cleared
9000125,4193895,118773,Failed/reversed activity,88.1,Cleared
9000126,4186708,122902,Unusual amount,92.9,Open
9000127,4118984,107188,High-risk merchant,92.6,Cleared
9000128,4022896,106012,Failed/reversed activity,82.9,Cleared
9000129,4116082,113376,Failed/reversed activity,83.5,Confirmed Fraud
9000130,4164241,114729,Failed/reversed activity,71.0,Cleared
9000131,4043862,103910,High-risk merchant,77.9,Cleared
9000132,4100084,123668,Late-night transaction,91.8,Cleared
9000133,4148917,112887,Unusual amount,95.9,Confirmed Fraud
9000134,4060161,126429,High-risk merchant,62.6,Cleared
9000135,4033234,112519,Failed/reversed activity,67.4,Confirmed Fraud
9000136,4112692,124486,Late-night transaction,98.0,Cleared
9000137,4187892,123148,High-risk merchant,59.8,Cleared
9000138,4063829,110964,Unusual amount,67.5,Open
9000139,4131764,124222,High-risk merchant,61.1,Cleared
9000140,4003158,125228,High-risk merchant,73.3,Open
9000141,4209212,122764,High-risk merchant,56.1,Cleared
9000142,4144103,114039,Unusual amount,82.1,Cleared
9000143,4213783,121880,High-risk merchant,85.4,Open
9000144,4133436,116502,Late-night transaction,85.9,Confirmed Fraud
9000145,4087642,128718,Failed/reversed activity,64.2,Open
9000146,4081531,120148,High-risk merchant,81.9,Cleared
9000147,4013260,115227,Unusual amount,77.0,Escalated
9000148,4029367,114623,High-risk merchant,97.9,Open
9000149,4003441,101785,Failed/reversed activity,90.0,Cleared
9000150,4153192,123464,Unusual amount,74.3,Cleared
9000151,4210508,122201,Late-night transaction,66.9,Open
9000152,4187395,107313,Failed/reversed activity,77.4,Cleared
9000153,4012121,121924,Late-night transaction,96.6,Cleared
9000154,4063251,109011,High-risk merchant,80.8,Escalated
9000155,4203349,114779,High-risk merchant,86.3,Confirmed Fraud
9000156,4037144,104488,Late-night transaction,89.7,Cleared
9000157,4048129,126166,Unusual amount,93.5,Open
9000158,4238019,113540,Failed/reversed activity,90.3,Confirmed Fraud
9000159,4112167,102426,Failed/reversed activity,70.7,Cleared
9000160,4229990,100505,High-risk merchant,81.8,Open
9000161,4001563,108496,Late-night transaction,89.5,Cleared
9000162,4004167,100342,High-risk merchant,93.1,Cleared
9000163,4130183,110799,Late-night transaction,94.1,Cleared
9000164,4008621,121415,Unusual amount,90.9,Cleared
9000165,4135980,115202,Late-night transaction,93.8,Cleared
9000166,4197645,123647,High-risk merchant,70.9,Cleared
9000167,4129993,122144,Unusual amount,86.5,Cleared
9000168,4002690,101901,High-risk merchant,63.4,Cleared
9000169,4138098,118301,High-risk merchant,81.0,Cleared
9000170,4064977,109409,Late-night transaction,95.1,Cleared
9000171,4029326,106079,Late-night transaction,70.7,Confirmed Fraud
9000172,4195847,109833,Failed/reversed activity,90.2,Cleared
9000173,4063159,111173,Unusual amount,82.2,Open
9000174,4205151,101101,Late-night transaction,61.9,Escalated
9000175,4056743,124492,Late-night transaction,67.9,Cleared
9000176,4106316,128180,Unusual amount,70.3,Escalated
9000177,4036704,120479,Late-night transaction,74.3,Cleared
9000178,4011759,102505,High-risk merchant,73.0,Open
9000179,4169956,101724,Failed/reversed activity,74.9,Cleared
9000180,4004758,101006,High-risk merchant,89.5,Cleared
9000181,4224420,108587,Late-night transaction,61.7,Escalated
9000182,4167392,106127,Failed/reversed activity,84.9,Open
9000183,4199146,123250,Late-night transaction,92.7,Confirmed Fraud
9000184,4057476,112312,Unusual amount,94.0,Cleared
9000185,4022614,100822,High-risk merchant,57.9,Cleared
9000186,4097517,121024,Unusual amount,74.5,Open
9000187,4166192,128010,Failed/reversed activity,85.9,Cleared
9000188,4128393,124526,Late-night transaction,65.9,Open
9000189,4097223,128776,Unusual amount,78.8,Open
9000190,4182344,113109,Failed/reversed activity,93.2,Confirmed Fraud
9000191,4162782,125141,Late-night transaction,66.0,Escalated
9000192,4206661,108810,Failed/reversed activity,81.8,Cleared
9000193,4135673,118382,Unusual amount,76.2,Cleared
9000194,4037003,107453,Unusual amount,72.1,Confirmed Fraud
9000195,4191022,128128,High-risk merchant,65.8,Confirmed Fraud
9000196,4049763,119009,Failed/reversed activity,90.8,Open
9000197,4132555,106007,High-risk merchant,65.3,Cleared
9000198,4093094,110672,Unusual amount,64.1,Escalated
9000199,4088484,110301,High-risk merchant,77.6,Open
9000200,4186794,104639,High-risk merchant,61.4,Open
9000201,4122835,111442,High-risk merchant,90.5,Confirmed Fraud
9000202,4018917,101286,High-risk merchant,67.3,Confirmed Fraud
9000203,4144867,116009,High-risk merchant,85.5,Confirmed Fraud
9000204,4071922,123109,Late-night transaction,76.2,Open
9000205,4043156,123868,Late-night transaction,74.3,Cleared
9000206,4159573,900307,Unusual amount,93.0,Cleared
9000207,4002982,129631,Unusual amount,74.4,Confirmed Fraud
9000208,4225372,126074,Failed/reversed activity,96.2,Cleared
9000209,4112234,100938,High-risk merchant,73.1,Escalated
9000210,4165813,110562,Late-night transaction,95.7,Cleared
9000211,4114312,128676,Failed/reversed activity,72.3,Cleared
9000212,4139254,108299,High-risk merchant,97.9,Cleared
9000213,4155435,111843,Failed/reversed activity,98.1,Cleared
9000214,4220886,900313,Unusual amount,88.3,Cleared
9000215,4129080,118081,Failed/reversed activity,84.8,Cleared
9000216,4040400,102166,Unusual amount,57.4,Escalated
9000217,4198185,109190,Late-night transaction,94.3,Confirmed Fraud
9000218,4159776,112560,Failed/reversed activity,69.5,Cleared
9000219,4095582,120632,Unusual amount,56.8,Open
9000220,4137371,114001,Unusual amount,97.3,Open
9000221,4040027,118128,Late-night transaction,91.9,Open
9000222,4118889,107173,High-risk merchant,61.9,Confirmed Fraud
9000223,4155782,121171,High-risk merchant,61.4,Confirmed Fraud
9000224,4122550,119893,Failed/reversed activity,59.1,Cleared
9000225,4106070,128442,Unusual amount,98.1,Cleared
9000226,4159720,119816,High-risk merchant,90.0,Open
9000227,4041536,128438,Failed/reversed activity,77.3,Cleared
9000228,4039657,112366,Late-night transaction,91.6,Open
9000229,4161868,113094,High-risk merchant,84.8,Escalated
9000230,4190969,111426,High-risk merchant,91.4,Confirmed Fraud
9000231,4194460,111601,Unusual amount,59.5,Confirmed Fraud
9000232,4096694,110366,High-risk merchant,95.0,Open
9000233,4024821,115709,Unusual amount,89.3,Cleared
9000234,4107358,107759,Unusual amount,67.5,Cleared
9000235,4184941,108104,Failed/reversed activity,66.1,Cleared
9000236,4119286,100342,Unusual amount,64.1,Confirmed Fraud
9000237,4072108,113610,High-risk merchant,79.4,Cleared
9000238,4075438,103606,Late-night transaction,65.5,Open
9000239,4129306,115558,Late-night transaction,80.6,Open
9000240,4059010,106069,Failed/reversed activity,97.3,Escalated
9000241,4067921,104778,Failed/reversed activity,56.4,Cleared
9000242,4104679,124648,Late-night transaction,93.1,Cleared
9000243,4014383,115113,Late-night transaction,91.6,Confirmed Fraud
9000244,4162423,100183,Failed/reversed activity,81.8,Cleared
9000245,4059266,113419,High-risk merchant,56.5,Cleared
9000246,4164394,121064,High-risk merchant,56.5,Cleared
9000247,4124119,118708,High-risk merchant,87.3,Confirmed Fraud
9000248,4118321,122819,High-risk merchant,72.8,Open
9000249,4014371,129448,Failed/reversed activity,90.2,Cleared
9000250,4122474,122553,Unusual amount,74.2,Confirmed Fraud
9000251,4215129,107216,Unusual amount,91.0,Open
9000252,4211693,112862,Failed/reversed activity,87.0,Confirmed Fraud
9000253,4029972,128340,High-risk merchant,58.7,Confirmed Fraud
9000254,4120067,107574,Unusual amount,91.0,Cleared
9000255,4224556,100661,Failed/reversed activity,75.5,Open
9000256,4064867,106162,High-risk merchant,74.5,Cleared
9000257,4070438,112687,Failed/reversed activity,67.2,Confirmed Fraud
9000258,4210110,119321,High-risk merchant,66.8,Cleared
9000259,4181016,107113,Late-night transaction,83.8,Cleared
9000260,4082917,124999,Unusual amount,85.6,Cleared
9000261,4103131,127434,Unusual amount,64.6,Open
9000262,4026070,105580,Unusual amount,75.1,Open
9000263,4081121,115725,Failed/reversed activity,66.8,Cleared
9000264,4079987,114940,Failed/reversed activity,59.9,Cleared
9000265,4127995,109389,Unusual amount,85.6,Cleared
9000266,4168431,100205,Late-night transaction,63.4,Cleared
9000267,4027894,118263,Late-night transaction,93.2,Open
9000268,4160960,126045,Late-night transaction,70.9,Open
9000269,4221672,106117,Unusual amount,84.2,Cleared
9000270,4159542,108899,High-risk merchant,57.7,Confirmed Fraud
9000271,4097609,109247,Late-night transaction,73.3,Cleared
9000272,4106305,103311,Unusual amount,62.7,Cleared
9000273,4218621,124958,Unusual amount,73.9,Escalated
9000274,4128946,121433,Unusual amount,98.2,Open
9000275,4085164,123118,Late-night transaction,57.3,Open
9000276,4154559,109580,Failed/reversed activity,94.7,Cleared
9000277,4015830,114133,Late-night transaction,73.6,Cleared
9000278,4101156,108753,High-risk merchant,65.5,Cleared
9000279,4073575,127626,Unusual amount,96.1,Cleared
9000280,4058625,108813,Failed/reversed activity,55.0,Confirmed Fraud
9000281,4191839,108975,High-risk merchant,85.9,Open
9000282,4149955,127287,Late-night transaction,87.3,Confirmed Fraud
9000283,4021414,106724,Unusual amount,84.9,Cleared
9000284,4055001,114623,Failed/reversed activity,57.9,Cleared
9000285,4067038,115356,Failed/reversed activity,71.5,Open
9000286,4217462,114416,Unusual amount,97.0,Cleared
9000287,4121092,120953,Late-night transaction,96.0,Open
9000288,4154631,117726,Failed/reversed activity,63.5,Open
9000289,4203849,111796,Unusual amount,65.8,Cleared
9000290,4006441,113495,Unusual amount,95.3,Open
9000291,4231834,105410,High-risk merchant,93.5,Cleared
9000292,4104773,108168,Unusual amount,75.9,Open
9000293,4104603,117581,High-risk merchant,92.1,Open
9000294,4124842,110223,High-risk merchant,61.2,Cleared
9000295,4234226,107179,Failed/reversed activity,82.5,Open
9000296,4201446,127031,High-risk merchant,74.3,Escalated
9000297,4214025,118771,Late-night transaction,60.1,Open
9000298,4225307,129108,High-risk merchant,71.6,Cleared
9000299,4161364,111534,Failed/reversed activity,83.5,Confirmed Fraud
9000300,4163178,108552,Failed/reversed activity,59.9,Escalated
9000301,4120443,124241,Late-night transaction,89.5,Open
9000302,4183162,129000,High-risk merchant,85.2,Cleared
9000303,4217776,110857,Late-night transaction,94.5,Open
9000304,4027213,129573,High-risk merchant,78.1,Escalated
9000305,4173234,114248,Unusual amount,89.2,Confirmed Fraud
9000306,4015420,110590,Failed/reversed activity,67.1,Escalated
9000307,4047653,104726,High-risk merchant,60.4,Cleared
9000308,4145359,127187,High-risk merchant,67.2,Open
9000309,4027985,122373,Failed/reversed activity,75.6,Cleared
9000310,4039957,113882,Late-night transaction,92.6,Confirmed Fraud
9000311,4142002,121393,Unusual amount,94.1,Escalated
9000312,4209512,116502,Failed/reversed activity,74.3,Open
9000313,4106739,113713,High-risk merchant,82.2,Open
9000314,4053239,129323,Failed/reversed activity,97.2,Cleared
9000315,4149466,110244,High-risk merchant,90.6,Open
9000316,4177454,101475,Late-night transaction,89.2,Cleared
9000317,4134508,100022,Unusual amount,97.7,Cleared
9000318,4239698,124121,Late-night transaction,89.9,Cleared
9000319,4153701,116054,Failed/reversed activity,59.8,Cleared
9000320,4224445,129744,Late-night transaction,79.2,Open
9000321,4164106,124819,High-risk merchant,59.5,Open
9000322,4184828,119431,Unusual amount,86.4,Open
9000323,4208784,128656,Failed/reversed activity,60.2,Confirmed Fraud
9000324,4042868,107797,Failed/reversed activity,79.2,Cleared
9000325,4080577,107991,Failed/reversed activity,70.9,Escalated
9000326,4144315,115684,High-risk merchant,74.4,Cleared
9000327,4112762,100300,Unusual amount,55.0,Confirmed Fraud
9000328,4156103,112285,Late-night transaction,72.9,Cleared
9000329,4203357,112342,Unusual amount,95.8,Cleared
9000330,4107052,107777,Late-night transaction,87.6,Cleared
9000331,4005712,125297,High-risk merchant,70.6,Confirmed Fraud
9000332,4009197,102321,High-risk merchant,67.7,Confirmed Fraud
9000333,4067194,114411,High-risk merchant,74.4,Open
9000334,4221971,101710,Failed/reversed activity,89.3,Confirmed Fraud
9000335,4055249,119393,Failed/reversed activity,88.2,Open
9000336,4226464,108860,Late-night transaction,61.3,Cleared
9000337,4151865,113920,High-risk merchant,70.6,Cleared
9000338,4068983,119172,High-risk merchant,79.0,Cleared
9000339,4205046,124082,Late-night transaction,72.7,Escalated
9000340,4017484,105315,Unusual amount,59.5,Confirmed Fraud
9000341,4042785,112681,Failed/reversed activity,66.1,Confirmed Fraud
9000342,4092474,113664,Late-night transaction,90.3,Cleared
9000343,4108858,900172,Unusual amount,98.8,Cleared
9000344,4102914,118131,Failed/reversed activity,95.0,Open
9000345,4103660,124887,High-risk merchant,75.1,Cleared
9000346,4125998,106538,Unusual amount,93.3,Cleared
9000347,4086564,117547,Late-night transaction,97.3,Confirmed Fraud
9000348,4226544,114802,Failed/reversed activity,92.9,Cleared
9000349,4188129,103571,High-risk merchant,96.1,Cleared
9000350,4232051,121087,High-risk merchant,60.8,Cleared
9000351,4082943,126004,Failed/reversed activity,75.8,Cleared
9000352,4163919,123698,Failed/reversed activity,74.5,Cleared
9000353,4032510,107170,Unusual amount,63.4,Escalated
9000354,4150734,101657,High-risk merchant,73.7,Escalated
9000355,4114065,104356,Failed/reversed activity,56.9,Cleared
9000356,4149648,121179,Unusual amount,83.1,Escalated
9000357,4067694,118123,Failed/reversed activity,71.4,Cleared
9000358,4103627,102532,Unusual amount,88.5,Cleared
9000359,4142664,101995,Late-night transaction,94.4,Cleared
9000360,4024435,106739,Failed/reversed activity,77.6,Confirmed Fraud
9000361,4106608,105530,Failed/reversed activity,69.6,Confirmed Fraud
9000362,4119972,128643,Late-night transaction,57.7,Cleared
9000363,4002820,127251,Unusual amount,91.5,Confirmed Fraud
9000364,4076576,113080,Failed/reversed activity,67.6,Open
9000365,4128568,108240,Unusual amount,66.6,Open
9000366,4073578,100372,High-risk merchant,90.6,Cleared
9000367,4130223,102253,Failed/reversed activity,86.1,Confirmed Fraud
9000368,4118908,118880,Failed/reversed activity,55.5,Open
9000369,4231155,121455,Late-night transaction,97.4,Cleared
9000370,4235673,115802,Failed/reversed activity,86.8,Confirmed Fraud
9000371,4088380,116976,High-risk merchant,68.2,Cleared
9000372,4215694,101928,Failed/reversed activity,58.0,Cleared
9000373,4180377,120068,Failed/reversed activity,84.3,Open
9000374,4066809,116169,Unusual amount,68.0,Cleared
9000375,4182883,110947,Late-night transaction,85.8,Cleared
9000376,4164040,100936,Late-night transaction,80.7,Escalated
9000377,4075931,103334,Unusual amount,63.9,Cleared
9000378,4016580,109717,Unusual amount,77.3,Confirmed Fraud
9000379,4121318,128724,Late-night transaction,82.4,Cleared
9000380,4200435,107741,Unusual amount,66.7,Open
9000381,4203993,105583,Late-night transaction,66.4,Open
9000382,4132942,114032,Failed/reversed activity,97.1,Confirmed Fraud
9000383,4139347,111805,Failed/reversed activity,60.2,Open
9000384,4142471,119862,High-risk merchant,60.6,Escalated
9000385,4222522,120255,Late-night transaction,89.1,Cleared
9000386,4028650,118554,Unusual amount,88.5,Escalated
9000387,4014029,123313,Unusual amount,59.4,Open
9000388,4068416,121059,High-risk merchant,61.0,Cleared
9000389,4065785,122238,High-risk merchant,79.3,Escalated
9000390,4063255,128700,Late-night transaction,61.3,Cleared
9000391,4117031,108392,Failed/reversed activity,83.6,Cleared
9000392,4007253,111777,Late-night transaction,55.5,Cleared
9000393,4224724,119199,Late-night transaction,66.3,Open
9000394,4080048,124994,Unusual amount,74.8,Confirmed Fraud
9000395,4120278,109105,Late-night transaction,55.2,Confirmed Fraud
9000396,4181597,117824,Late-night transaction,68.7,Open
9000397,4125048,103198,Unusual amount,63.9,Cleared
9000398,4152404,104840,Unusual amount,80.0,Cleared
9000399,4215292,110742,Late-night transaction,62.1,Escalated
9000400,4133798,127928,Unusual amount,98.6,Open
9000401,4097452,125205,Unusual amount,72.8,Confirmed Fraud
9000402,4053746,105117,Unusual amount,91.5,Cleared
9000403,4236013,104194,Unusual amount,79.8,Confirmed Fraud
9000404,4015056,112537,High-risk merchant,81.6,Cleared
9000405,4015208,111648,High-risk merchant,98.0,Cleared
9000406,4218346,122461,High-risk merchant,89.7,Escalated
9000407,4126505,115610,Unusual amount,92.3,Confirmed Fraud
9000408,4104386,122998,Failed/reversed activity,95.5,Cleared
9000409,4010163,117328,High-risk merchant,65.2,Open
9000410,4012461,113299,Unusual amount,82.3,Cleared
9000411,4140567,100689,High-risk merchant,66.5,Open
9000412,4166092,112226,Unusual amount,69.4,Cleared
9000413,4131120,113848,Late-night transaction,80.2,Cleared
9000414,4017932,108001,Unusual amount,79.3,Escalated
9000415,4170387,115902,Failed/reversed activity,61.7,Cleared
9000416,4227072,109026,Failed/reversed activity,70.2,Escalated
9000417,4229694,113614,Unusual amount,93.9,Cleared
9000418,4065378,129850,Unusual amount,87.1,Confirmed Fraud
9000419,4151074,122832,Late-night transaction,69.8,Cleared
9000420,4111528,125313,Failed/reversed activity,83.7,Open
9000421,4035155,109699,Failed/reversed activity,80.8,Escalated
9000422,4043483,110557,Failed/reversed activity,65.1,Cleared
9000423,4142977,102384,Unusual amount,90.4,Open
9000424,4089677,103944,High-risk merchant,66.7,Open
9000425,4232080,115337,High-risk merchant,87.6,Confirmed Fraud
9000426,4156149,120731,Unusual amount,68.9,Escalated
9000427,4078559,106394,Late-night transaction,78.6,Cleared
9000428,4138760,112116,Unusual amount,88.8,Cleared
9000429,4202431,116245,Late-night transaction,97.0,Cleared
9000430,4082424,122339,Late-night transaction,95.9,Cleared
9000431,4114325,113847,High-risk merchant,92.2,Cleared
9000432,4174481,116115,High-risk merchant,55.9,Cleared
9000433,4160570,129890,Late-night transaction,95.4,Open
9000434,4067817,118717,Late-night transaction,61.9,Cleared
9000435,4070962,114579,High-risk merchant,69.5,Cleared
9000436,4034919,115455,Failed/reversed activity,67.5,Confirmed Fraud
9000437,4081323,115764,Failed/reversed activity,67.3,Cleared
9000438,4222930,122236,Unusual amount,84.7,Cleared
9000439,4072175,124816,Failed/reversed activity,90.0,Confirmed Fraud
9000440,4210726,102465,High-risk merchant,86.6,Cleared
9000441,4198551,104175,Failed/reversed activity,74.3,Cleared
9000442,4196854,118671,Unusual amount,69.4,Confirmed Fraud
9000443,4150674,120491,Unusual amount,73.3,Confirmed Fraud
9000444,4046485,116384,High-risk merchant,78.8,Confirmed Fraud
9000445,4049899,100412,High-risk merchant,92.3,Open
9000446,4224546,112277,Failed/reversed activity,87.3,Cleared
9000447,4197798,104808,High-risk merchant,56.6,Confirmed Fraud
9000448,4181033,109186,Late-night transaction,85.8,Open
9000449,4035651,126025,High-risk merchant,64.2,Open
9000450,4079442,119099,Unusual amount,80.0,Cleared
9000451,4132609,127906,Unusual amount,68.3,Cleared
9000452,4129022,103871,High-risk merchant,57.4,Cleared
9000453,4180205,122908,High-risk merchant,72.1,Open
9000454,4216692,119561,High-risk merchant,81.4,Open
9000455,4239335,100579,High-risk merchant,90.2,Open
9000456,4196657,101612,High-risk merchant,76.8,Cleared
9000457,4056684,129252,Unusual amount,95.1,Confirmed Fraud
9000458,4154745,101954,Unusual amount,67.0,Confirmed Fraud
9000459,4138725,119620,Unusual amount,57.0,Cleared
9000460,4026635,108391,Late-night transaction,97.5,Cleared
9000461,4130938,101198,High-risk merchant,69.5,Confirmed Fraud
9000462,4232346,102540,Unusual amount,62.9,Cleared
9000463,4064672,120371,Unusual amount,97.4,Open
9000464,4082420,108403,Unusual amount,56.5,Open
9000465,4013404,129431,Failed/reversed activity,68.7,Open
9000466,4166346,126903,High-risk merchant,70.8,Escalated
9000467,4226195,122308,Failed/reversed activity,63.6,Open
9000468,4189473,111883,High-risk merchant,86.1,Cleared
9000469,4188405,101258,Failed/reversed activity,64.3,Cleared
9000470,4065098,129784,Late-night transaction,89.8,Confirmed Fraud
9000471,4222424,117799,Unusual amount,77.1,Cleared
9000472,4228759,100749,Unusual amount,67.5,Cleared
9000473,4086375,127544,Late-night transaction,70.2,Cleared
9000474,4202373,118687,Unusual amount,57.4,Cleared
9000475,4059403,122655,Late-night transaction,95.9,Open
9000476,4027718,107174,Late-night transaction,56.4,Cleared
9000477,4045918,118067,Late-night transaction,86.8,Escalated
9000478,4191041,124107,Failed/reversed activity,81.5,Open
9000479,4188476,103906,Unusual amount,56.1,Cleared
9000480,4169825,129716,Unusual amount,60.6,Confirmed Fraud
9000481,4071747,122119,High-risk merchant,90.7,Open
9000482,4033467,108711,Unusual amount,73.3,Cleared
9000483,4033763,100699,High-risk merchant,68.3,Open
9000484,4123683,103887,High-risk merchant,77.4,Confirmed Fraud
