merchant_id,merchant_name,merchant_category,merchant_country,risk_level
5205,Fashion_205,Fashion,Cyprus,Low
5206,Travel_206,Travel,Romania,Medium
5207,Fashion_207,Fashion,Romania,Low
5208,Utilities_208,Utilities,Romania,Low
5209,Groceries 209,Groceries,Poland,Low
5210,Travel_210,Travel,Portugal,Medium
5211,Travel_211,Travel,Portugal,Medium
5212,RESTAURANTS_212,Restaurants,Lithuania,Low
5213,OnlineGaming_213,Online Gaming,Germany,High
5214,Travel_214,Travel,Netherlands,Medium
5215,Fashion_215,Fashion,Belgium,Low
5216,Electronics_216,Electronics,Ireland,Medium
5217,Electronics_217,Electronics,France,Medium
5218,Restaurants 218,Restaurants,Sweden,Low
5219,Utilities_219,Utilities,Germany,Low
5220,ATM_220,ATM,Portugal,Medium
5221,EDUCATION_221,Education,Lithuania,Low
5222,Health_222,Health,Ireland,Low
5223,Fashion_223,Fashion,Romania,Low
5224,Insurance_224,Insurance,Portugal,Low
5225,ATM_225,ATM,Cyprus,Medium
5226,OnlineGaming_226,Online Gaming,Belgium,High
5227,Utilities_227,Utilities,Cyprus,Low
5228,Utilities_228,Utilities,France,Low
5229,ATM_229,ATM,Italy,Medium
5230,CryptoServices_230,Crypto Services,Spain,High
5231,ATM_231,ATM,Italy,Medium
5232,Fashion_232,Fashion,Malta,Low
5233,Restaurants_233,Restaurants,Cyprus,Low
5234,Fashion_234,Fashion,Netherlands,Low
5235,Education_235,Education,Cyprus,Low
5236,Education_236,Education,Belgium,Low
5237,EDUCATION_237,Education,Ireland,Low
5238,CryptoServices_238,Crypto Services,Ireland,High
5239,Groceries_239,Groceries,Lithuania,Low
5240,Health 240,Health,Poland,Low
5241,GROCERIES_241,Groceries,Cyprus,Low
5242,Education_242,Education,Netherlands,Low
5243,ELECTRONICS_243,Electronics,Belgium,Medium
5244,Groceries_244,Groceries,Belgium,Low
5245,Health_245,Health,Italy,Low
5246,ONLINEGAMING 246,Online Gaming,Romania,High
5247,ATM_247,ATM,Germany,Medium
5248,Restaurants_248,Restaurants,Spain,Low
5249,Education_249,Education,Malta,Low
5250,Travel_250,Travel,Malta,Medium
5251,Fashion_251,Fashion,Sweden,Low
5252,CryptoServices_252,Crypto Services,Spain,High
5253,ATM_253,ATM,Germany,Medium
5254,Travel_254,Travel,Germany,Medium
5255,Education_255,Education,Poland,Low
5256,Groceries_256,Groceries,Spain,Low
5257,Fashion_257,Fashion,Ireland,Low
5258,Groceries_258,Groceries,Italy,Low
5259,ATM_259,ATM,Italy,Medium
5260,Travel_260,Travel,Spain,Medium
5261,OnlineGaming 261,Online Gaming,Sweden,High
5262,Insurance_262,Insurance,France,Low
5263,EDUCATION_263,Education,Italy,Low
5264,FASHION_264,Fashion,Malta,Low
5265,OnlineGaming_265,Online Gaming,Ireland,High
5266,RESTAURANTS_266,Restaurants,Italy,Low
5267,Groceries_267,Groceries,France,Low
5268,Health 268,Health,Romania,Low
5269,ATM_269,ATM,Germany,Medium
5270,Restaurants_270,Restaurants,Malta,Low
5271,Groceries_271,Groceries,Belgium,Low
5272,Restaurants_272,Restaurants,Sweden,Low
5273,Fashion_273,Fashion,Malta,Low
5274,Groceries_274,Groceries,Lithuania,Low
5275,Utilities_275,Utilities,Belgium,Low
5276,Restaurants_276,Restaurants,Sweden,Low
5277,Fashion_277,Fashion,Sweden,Low
5278,Fashion_278,Fashion,Italy,Low
5279,Groceries_279,Groceries,Germany,Low
5280,Groceries_280,Groceries,France,Low
5281,Travel_281,Travel,Cyprus,Medium
5282,Groceries_282,Groceries,Sweden,Low
5283,Groceries_283,Groceries,Poland,Low
5284,Fashion_284,Fashion,Ireland,Low
5285,ATM_285,ATM,Belgium,Medium
5286,Groceries_286,Groceries,France,Low
5287,Travel_287,Travel,Netherlands,Medium
5288,Groceries_288,Groceries,France,Low
5289,Electronics_289,Electronics,Poland,Medium
5290,ATM_290,ATM,Lithuania,Medium
5291,Electronics_291,Electronics,Lithuania,Medium
5292,Fashion_292,Fashion,Lithuania,Low
5293,ATM_293,ATM,Lithuania,Medium
5294,Groceries_294,Groceries,Netherlands,Low
5295,GROCERIES_295,Groceries,Italy,Low
5296,Restaurants_296,Restaurants,Portugal,Low
5297,HEALTH_297,Health,Italy,Low
5298,Utilities_298,Utilities,Germany,Low
5299,Travel_299,Travel,Portugal,Medium
5300,Groceries_300,Groceries,Malta,Low
5301,ATM_301,ATM,Lithuania,Medium
5302,Fashion_302,Fashion,Germany,Low
5303,Fashion_303,Fashion,Italy,Low
5304,Insurance_304,Insurance,Cyprus,Low
5305,Fashion_305,Fashion,Germany,Low
5306,Utilities_306,Utilities,Germany,Low
5307,FASHION_307,Fashion,Germany,Low
5308,Education_308,Education,Italy,Low
5309,GROCERIES_309,Groceries,Italy,Low
5310,Travel_310,Travel,Cyprus,Medium
5311,Utilities_311,Utilities,Poland,Low
5312,Utilities_312,Utilities,Poland,Low
5313,ATM_313,ATM,Portugal,Medium
5314,Utilities_314,Utilities,Poland,Low
5315,Restaurants_315,Restaurants,Belgium,Low
5316,Travel 316,Travel,Spain,Medium
5317,Restaurants_317,Restaurants,Cyprus,Low
5318,Electronics_318,Electronics,Sweden,Medium
5319,Travel_319,Travel,Spain,Medium
5320,RESTAURANTS_320,Restaurants,Romania,Low
5321,Groceries_321,Groceries,Cyprus,Low
5322,Travel_322,Travel,Netherlands,Medium
5323,Fashion_323,Fashion,Germany,Low
5324,Restaurants_324,Restaurants,France,Low
5325,Electronics_325,Electronics,Sweden,Medium
5326,INSURANCE_326,Insurance,Poland,Low
5327,Groceries_327,Groceries,Sweden,Low
5328,Travel_328,Travel,Portugal,Medium
5329,Utilities_329,Utilities,Lithuania,Low
5330,Groceries_330,Groceries,Germany,Low
5331,Restaurants_331,Restaurants,Italy,Low
5332,Utilities_332,Utilities,Lithuania,Low
5333,Fashion 333,Fashion,Germany,Low
5334,Insurance_334,Insurance,France,Low
5335,Utilities_335,Utilities,France,Low
5336,Restaurants_336,Restaurants,Malta,Low
5337,Fashion_337,Fashion,France,Low
5338,Restaurants_338,Restaurants,Netherlands,Low
5339,Utilities_339,Utilities,Germany,Low
5340,Health_340,Health,Ireland,Low
5341,Fashion_341,Fashion,Germany,Low
5342,Utilities_342,Utilities,Italy,Low
5343,Groceries_343,Groceries,Lithuania,Low
5344,RESTAURANTS_344,Restaurants,Italy,Low
5345,Fashion_345,Fashion,Romania,Low
5346,Restaurants_346,Restaurants,Netherlands,Low
5347,Fashion_347,Fashion,Spain,Low
5348,ATM_348,ATM,Belgium,Medium
5349,EDUCATION_349,Education,Sweden,Low
5350,Groceries_350,Groceries,Ireland,Low
5351,Electronics_351,Electronics,Poland,Medium
5352,Electronics_352,Electronics,Malta,Medium
5353,ELECTRONICS_353,Electronics,Ireland,Medium
5354,Groceries_354,Groceries,Belgium,Low
5355,UTILITIES_355,Utilities,Malta,Low
5356,Travel_356,Travel,Netherlands,Medium
5357,Utilities_357,Utilities,Sweden,Low
5358,ATM_358,ATM,Belgium,Medium
5359,OnlineGaming_359,Online Gaming,Ireland,High
5360,Health_360,Health,Belgium,Low
5361,Travel_361,Travel,Malta,Medium
5362,Fashion 362,Fashion,Lithuania,Low
5363,ATM_363,ATM,Spain,Medium
5364,EDUCATION_364,Education,Sweden,Low
5365,Travel_365,Travel,Italy,Medium
5366,Insurance 366,Insurance,Netherlands,Low
5367,Electronics_367,Electronics,Italy,Medium
5368,TRAVEL_368,Travel,Italy,Medium
5369,Health_369,Health,Romania,Low
5370,Restaurants_370,Restaurants,France,Low
5371,Insurance_371,Insurance,France,Low
5372,Insurance_372,Insurance,Italy,Low
5373,Restaurants_373,Restaurants,Belgium,Low
5374,Insurance_374,Insurance,Sweden,Low
5375,ATM_375,ATM,France,Medium
5376,Electronics_376,Electronics,Belgium,Medium
5377,Groceries_377,Groceries,France,Low
5378,INSURANCE_378,Insurance,Netherlands,Low
5379,Restaurants_379,Restaurants,Belgium,Low
5380,Fashion_380,Fashion,Netherlands,Low
5381,Restaurants_381,Restaurants,Lithuania,Low
5382,Restaurants_382,Restaurants,Sweden,Low
5383,Groceries_383,Groceries,France,Low
5384,Electronics_384,Electronics,Malta,Medium
5385,Fashion_385,Fashion,Belgium,Low
5386,Utilities 386,Utilities,Poland,Low
5387,UTILITIES_387,Utilities,Belgium,Low
5388,TRAVEL_388,Travel,Germany,Medium
5389,UTILITIES_389,Utilities,Malta,Low
5390,Fashion_390,Fashion,Portugal,Low
5391,Groceries_391,Groceries,Netherlands,Low
5392,Groceries_392,Groceries,Lithuania,Low
5393,Groceries_393,Groceries,Ireland,Low
5394,Health 394,Health,Netherlands,Low
5395,ATM_395,ATM,Lithuania,Medium
5396,Restaurants_396,Restaurants,France,Low
5397,ELECTRONICS_397,Electronics,Lithuania,Medium
5398,Restaurants_398,Restaurants,Ireland,Low
5399,Restaurants_399,Restaurants,Sweden,Low
5400,OnlineGaming_400,Online Gaming,Lithuania,High
5401,FASHION_401,Fashion,Italy,Low
5402,Electronics_402,Electronics,Belgium,Medium
5403,ONLINEGAMING_403,Online Gaming,Lithuania,High
5404,CryptoServices_404,Crypto Services,Portugal,High
5405,ATM_405,ATM,Malta,Medium
5406,Groceries_406,Groceries,Sweden,Low
5407,Groceries_407,Groceries,Poland,Low
5408,Groceries 408,Groceries,Sweden,Low
5409,Restaurants_409,Restaurants,Belgium,Low
5410,Insurance_410,Insurance,Poland,Low
5411,Groceries_411,Groceries,Malta,Low
5412,GROCERIES_412,Groceries,Netherlands,Low
5413,EDUCATION_413,Education,Spain,Low
5414,ATM_414,ATM,Spain,Medium
5415,ELECTRONICS 415,Electronics,Poland,Medium
5416,Electronics_416,Electronics,Ireland,Medium
5417,HEALTH_417,Health,Belgium,Low
5418,Fashion_418,Fashion,Sweden,Low
5419,Electronics_419,Electronics,France,Medium
5420,CryptoServices_420,Crypto Services,Portugal,High
5421,TRAVEL_421,Travel,Cyprus,Medium
5422,Insurance_422,Insurance,Spain,Low
5423,OnlineGaming_423,Online Gaming,Spain,High
5424,Groceries_424,Groceries,Ireland,Low
5425,Restaurants_425,Restaurants,Sweden,Low
5426,RESTAURANTS_426,Restaurants,France,Low
5427,Fashion_427,Fashion,France,Low
5428,Restaurants_428,Restaurants,France,Low
5429,Travel_429,Travel,Netherlands,Medium
5430,TRAVEL_430,Travel,France,Medium
5431,INSURANCE_431,Insurance,Netherlands,Low
5432,Education 432,Education,Cyprus,Low
5433,Groceries_433,Groceries,Cyprus,Low
5434,Travel_434,Travel,Germany,Medium
5435,HEALTH_435,Health,Romania,Low
5436,Education_436,Education,Sweden,Low
5437,GROCERIES_437,Groceries,Malta,Low
5438,OnlineGaming_438,Online Gaming,Poland,High
5439,Insurance_439,Insurance,Romania,Low
5440,Restaurants_440,Restaurants,Ireland,Low
5441,OnlineGaming_441,Online Gaming,Germany,High
5442,Health 442,Health,Spain,Low
5443,RESTAURANTS 443,Restaurants,Malta,Low
5444,Restaurants_444,Restaurants,Ireland,Low
5445,Health_445,Health,Germany,Low
5446,Restaurants_446,Restaurants,Spain,Low
5447,ONLINEGAMING_447,Online Gaming,France,High
5448,GROCERIES_448,Groceries,Netherlands,Low
5449,Travel 449,Travel,Portugal,Medium
5450,Restaurants_450,Restaurants,Cyprus,Low
5451,Restaurants_451,Restaurants,Netherlands,Low
5452,Fashion_452,Fashion,Portugal,Low
5453,Restaurants_453,Restaurants,Portugal,Low
5454,Groceries_454,Groceries,Italy,Low
5455,Groceries 455,Groceries,Sweden,Low
5456,Groceries_456,Groceries,Ireland,Low
5457,Groceries_457,Groceries,Cyprus,Low
5458,TRAVEL_458,Travel,Romania,Medium
5459,ATM_459,ATM,Italy,Medium
5460,Groceries_460,Groceries,Germany,Low
5461,Fashion_461,Fashion,Romania,Low
5462,Education_462,Education,France,Low
5463,Restaurants_463,Restaurants,France,Low
5464,Groceries_464,Groceries,Portugal,Low
5465,Groceries_465,Groceries,Germany,Low
5466,Fashion_466,Fashion,Belgium,Low
5467,Fashion 467,Fashion,Cyprus,Low
5468,FASHION_468,Fashion,Germany,Low
5469,Travel 469,Travel,Lithuania,Medium
5470,Education_470,Education,Spain,Low
5471,OnlineGaming_471,Online Gaming,Italy,High
5472,Health_472,Health,France,Low
5473,OnlineGaming_473,Online Gaming,Italy,High
5474,CryptoServices_474,Crypto Services,Sweden,High
5475,ELECTRONICS_475,Electronics,Sweden,Medium
5476,Groceries_476,Groceries,Germany,Low
5477,Fashion_477,Fashion,Lithuania,Low
5478,Groceries_478,Groceries,France,Low
5479,ATM_479,ATM,Cyprus,Medium
5480,RESTAURANTS 480,Restaurants,Netherlands,Low
5481,Education_481,Education,Sweden,Low
5482,Electronics_482,Electronics,Ireland,Medium
5483,Fashion_483,Fashion,Lithuania,Low
5484,Electronics_484,Electronics,Malta,Medium
5485,Fashion_485,Fashion,Belgium,Low
5486,Restaurants_486,Restaurants,Netherlands,Low
5487,UTILITIES_487,Utilities,Poland,Low
5488,OnlineGaming 488,Online Gaming,Germany,High
5489,Restaurants_489,Restaurants,Cyprus,Low
5490,Utilities_490,Utilities,Netherlands,Low
5491,Groceries 491,Groceries,Portugal,Low
5492,FASHION_492,Fashion,Poland,Low
5493,Health_493,Health,Cyprus,Low
5494,Education_494,Education,Poland,Low
5495,Fashion_495,Fashion,Netherlands,Low
5496,Groceries_496,Groceries,Malta,Low
5497,Restaurants_497,Restaurants,Cyprus,Low
5498,Health_498,Health,Sweden,Low
5499,Groceries_499,Groceries,Italy,Low
5500,Fashion_500,Fashion,Spain,Low
5501,Travel_501,Travel,Italy,Medium
5502,Education_502,Education,France,Low
5503,Fashion_503,Fashion,Cyprus,Low
5504,Groceries_504,Groceries,Romania,Low
5505,Groceries_505,Groceries,Romania,Low
5506,Electronics_506,Electronics,Belgium,Medium
5507,Insurance_507,Insurance,Germany,Low
5508,Electronics_508,Electronics,Malta,Medium
5509,Restaurants_509,Restaurants,Sweden,Low
5510,CryptoServices_510,Crypto Services,Romania,High
5511,Electronics_511,Electronics,Romania,Medium
5512,GROCERIES_512,Groceries,Lithuania,Low
5513,Electronics_513,Electronics,Netherlands,Medium
5514,Health_514,Health,Belgium,Low
5515,Groceries_515,Groceries,Portugal,Low
5516,Fashion_516,Fashion,Poland,Low
5517,Insurance_517,Insurance,Cyprus,Low
5518,Health_518,Health,Belgium,Low
5519,INSURANCE 519,Insurance,Ireland,Low
5520,FASHION_520,Fashion,Germany,Low
5521,Groceries_521,Groceries,Sweden,Low
5522,Groceries_522,Groceries,Cyprus,Low
5523,Groceries 523,Groceries,Portugal,Low
5524,Electronics_524,Electronics,Ireland,Medium
5525,ATM_525,ATM,Netherlands,Medium
5526,Electronics_526,Electronics,France,Medium
5527,Groceries_527,Groceries,Germany,Low
5528,Insurance_528,Insurance,Sweden,Low
5529,ELECTRONICS_529,Electronics,Italy,Medium
5530,Health_530,Health,Spain,Low
5531,Groceries_531,Groceries,Germany,Low
5532,Restaurants_532,Restaurants,Germany,Low
5533,CRYPTOSERVICES_533,Crypto Services,France,High
5534,Groceries_534,Groceries,Belgium,Low
5535,Restaurants_535,Restaurants,Italy,Low
5536,Fashion_536,Fashion,Spain,Low
5537,ATM_537,ATM,Ireland,Medium
5538,Restaurants 538,Restaurants,Sweden,Low
5539,Restaurants_539,Restaurants,France,Low
5540,OnlineGaming_540,Online Gaming,Sweden,High
5541,Education_541,Education,Sweden,Low
5542,RESTAURANTS_542,Restaurants,Romania,Low
5543,Utilities_543,Utilities,Malta,Low
5544,Fashion_544,Fashion,Poland,Low
5545,Utilities_545,Utilities,Romania,Low
5546,GROCERIES_546,Groceries,Italy,Low
5547,Travel_547,Travel,Belgium,Medium
5548,GROCERIES_548,Groceries,Belgium,Low
5549,FASHION 549,Fashion,Cyprus,Low
5550,GROCERIES_550,Groceries,Germany,Low
5551,Fashion_551,Fashion,Ireland,Low
5552,Restaurants_552,Restaurants,France,Low
5553,CRYPTOSERVICES_553,Crypto Services,Romania,High
5554,Travel_554,Travel,Netherlands,Medium
5555,Fashion 555,Fashion,Italy,Low
5556,Travel 556,Travel,Poland,Medium
5557,Travel_557,Travel,Romania,Medium
5558,Travel_558,Travel,Ireland,Medium
5559,Utilities_559,Utilities,Spain,Low
5560,FASHION_560,Fashion,Lithuania,Low
5561,Utilities_561,Utilities,Netherlands,Low
5562,Education_562,Education,Romania,Low
5563,Restaurants_563,Restaurants,Portugal,Low
5564,Travel_564,Travel,Malta,Medium
5565,Groceries_565,Groceries,Poland,Low
5566,Travel_566,Travel,Ireland,Medium
5567,Travel_567,Travel,Malta,Medium
5568,Fashion_568,Fashion,Malta,Low
5569,Utilities 569,Utilities,Ireland,Low
5570,TRAVEL_570,Travel,Portugal,Medium
5571,OnlineGaming_571,Online Gaming,Portugal,High
5572,Restaurants_572,Restaurants,Germany,Low
5573,TRAVEL_573,Travel,Portugal,Medium
5574,Electronics_574,Electronics,Malta,Medium
5575,Fashion_575,Fashion,Italy,Low
5576,Restaurants_576,Restaurants,Germany,Low
5577,Utilities 577,Utilities,Cyprus,Low
5578,Utilities_578,Utilities,Sweden,Low
5579,ATM_579,ATM,Lithuania,Medium
5580,OnlineGaming_580,Online Gaming,Italy,High
5581,Electronics_581,Electronics,Netherlands,Medium
5582,Education_582,Education,Romania,Low
5583,Travel_583,Travel,Sweden,Medium
5584,HEALTH_584,Health,Cyprus,Low
5585,Fashion 585,Fashion,France,Low
5586,Restaurants_586,Restaurants,Lithuania,Low
5587,Fashion 587,Fashion,Portugal,Low
5588,Groceries_588,Groceries,Germany,Low
5589,GROCERIES_589,Groceries,Belgium,Low
5590,Fashion_590,Fashion,Italy,Low
5591,ATM_591,ATM,Cyprus,Medium
5592,OnlineGaming 592,Online Gaming,Netherlands,High
5593,HEALTH_593,Health,Lithuania,Low
5594,Restaurants_594,Restaurants,Poland,Low
5595,ATM_595,ATM,Italy,Medium
5596,ATM_596,ATM,France,Medium
5597,Utilities_597,Utilities,Belgium,Low
5598,Groceries_598,Groceries,Poland,Low
5599,CryptoServices_599,Crypto Services,Portugal,High
5600,Electronics 600,Electronics,Sweden,Medium
5601,Restaurants_601,Restaurants,Belgium,Low
5602,Electronics_602,Electronics,Poland,Medium
5603,RESTAURANTS_603,Restaurants,Sweden,Low
5604,ELECTRONICS_604,Electronics,Ireland,Medium
