account_id,customer_id,account_type,currency,opened_date,closed_date,account_status,current_balance,overdraft_limit
2000047,120100,Current,EUR,2022-10-26,,Dormant,805.98,2500
2000048,127784,Current,SEK,2023-01-15,,Active,629.92,0
2000049,128198,Current,EUR,2022-03-19,,Active,1453.73,0
2000050,129198,Current,EUR,2024-12-23,,Active,1420.57,0
2000051,106135,Current,PLN,2024-06-02,,Active,366.04,2500
2000052,110134,Current,EUR,2024-03-01,,Active,551.47,500
2000053,117178,Current,EUR,2022-05-23,,Active,4138.5,0
2000054,117567,Current,SEK,2024-02-13,,Closed,2223.33,1000
2000055,117998,Business,EUR,2024-07-15,,Active,1230.32,1000
2000056,104339,Joint,EUR,2022-10-25,,Active,419.16,0
2000057,129728,Business,EUR,2022-10-16,,Active,512.88,0
2000058,103555,Current,EUR,2024-06-01,,Active,5665.92,500
2000059,104592,Savings,EUR,2023-12-03,,Active,6142.78,0
2000060,102284,Current,EUR,2022-06-03,,Dormant,-672.27,2500
2000061,112506,Joint,EUR,2022-05-22,,Active,2405.25,0
2000062,110711,Business,EUR,2022-04-28,,Active,3374.89,0
2000063,103733,Joint,EUR,2024-11-10,,Active,2734.69,0
2000064,129539,Savings,EUR,2024-09-14,,Active,1142.98,0
2000065,101660,Savings,EUR,2023-11-07,,Active,2017.81,0
2000066,128426,Savings,EUR,2024-12-02,,Active,1402.93,0
2000067,120198,Current,EUR,2023-06-03,,Active,1892.04,1000
2000068,101685,Current,EUR,2022-04-14,,Active,6026.97,0
2000069,102883,Current,EUR,2023-09-09,,Active,5738.16,500
2000070,102171,Current,EUR,2022-04-22,,Active,913.72,2500
2000071,119301,Current,EUR,2024-10-18,,Active,754.61,250
2000072,119001,Current,EUR,2022-04-01,2023-07-16,Closed,843.04,250
2000073,115825,Current,EUR,2023-03-19,,Closed,1733.39,2500
2000074,124604,Savings,PLN,2023-03-11,,Active,2139.71,0
2000075,123100,Current,EUR,2022-03-24,,Active,486.38,0
2000076,128699,Current,EUR,2024-10-14,,Closed,1191.44,1000
2000077,129276,Current,EUR,2023-12-31,,Dormant,1996.59,2500
2000078,103889,Current,SEK,2024-03-22,,Active,4468.16,0
2000079,123580,Savings,EUR,2024-11-15,,Active,1475.94,0
2000080,125453,Current,EUR,2022-04-23,,Active,1273.3,2500
2000081,110679,Current,EUR,2022-06-26,,Active,3338.52,2500
2000082,126372,Savings,EUR,2023-03-02,,Active,6560.9,0
2000083,110299,Current,PLN,2024-01-31,,Active,345.21,2500
2000084,124974,Savings,EUR,2023-03-15,,Active,3030.15,0
2000085,123096,Current,EUR,2024-03-27,,Active,59658.28,500
2000086,102703,Business,EUR,2024-09-04,,Active,2268.42,0
2000087,104586,Joint,EUR,2024-07-16,,Active,1031.57,0
2000088,126998,Current,EUR,2023-08-03,,Active,4262.33,500
2000089,100747,Business,EUR,2022-12-17,,Active,1124.63,0
2000090,107525,Business,EUR,2022-09-24,,Dormant,649.62,1000
2000091,107900,Savings,EUR,2022-05-21,,Active,349.6,0
2000092,107247,Joint,EUR,2024-09-10,,Active,265.95,0
2000093,129318,Current,EUR,2022-09-14,,Active,2136.93,250
2000094,103306,Current,EUR,2022-12-14,,Active,1564.04,1000
2000095,126143,Savings,SEK,2023-07-24,,Active,579.38,0
2000096,102964,Business,EUR,2022-08-16,,Active,976.87,0
2000097,109316,Business,EUR,2024-07-05,,Active,1427.82,500
2000098,105530,Savings,EUR,2022-07-06,,Active,1005.87,0
2000099,101794,Current,EUR,2023-01-19,,Active,673.34,1000
2000100,106056,Savings,EUR,2023-06-28,,Active,185.58,0
2000101,111994,Savings,EUR,2024-02-10,,Active,1415.34,0
2000102,117818,Business,EUR,2022-11-17,,Closed,1106.59,0
2000103,100081,Savings,EUR,2024-05-30,,Active,820.18,0
2000104,116526,Business,EUR,2023-05-28,,Active,1259.4,250
2000105,108712,Savings,EUR,2022-09-25,,Active,603.47,0
2000106,122507,Savings,EUR,2023-02-12,,Active,358.86,0
2000107,108470,Joint,SEK,2024-08-21,,Active,1209.11,0
2000108,117791,Savings,EUR,2024-07-25,,Active,1246.48,0
2000109,105936,Current,PLN,2024-09-18,,Active,16520.13,500
2000110,122592,Savings,EUR,2024-06-22,,Active,1659.34,0
2000111,120383,Savings,EUR,2023-12-12,,Active,5751.45,0
2000112,113369,Savings,EUR,2022-12-29,,Active,405.29,0
2000113,127192,Current,EUR,2024-11-14,,Active,727.19,500
2000114,126354,Current,EUR,2022-02-05,,Active,3182.82,250
2000115,125959,Current,EUR,2022-11-02,,Active,510.1,0
2000116,103794,Current,EUR,2024-02-28,,Active,1288.12,0
2000117,127031,Current,SEK,2022-10-22,,Active,327.42,1000
2000118,103636,Current,EUR,2023-09-02,2023-11-08,Closed,3986.28,2500
2000119,128109,Business,EUR,2024-12-09,,Active,1788.9,0
2000120,106318,Joint,EUR,2022-07-25,,Dormant,1782.86,0
2000121,102531,Savings,EUR,2023-03-20,,Closed,1169.8,0
2000122,119453,Current,EUR,2023-10-30,,Active,1083.08,0
2000123,124162,Current,EUR,2022-09-17,,Active,885.05,1000
2000124,123838,Savings,EUR,2024-08-30,,Active,1737.41,0
2000125,126405,Current,EUR,2024-10-13,,Active,219.05,500
2000126,106072,Current,PLN,2023-05-14,,Active,3218.83,2500
2000127,122425,Savings,EUR,2022-02-07,,Active,868.71,0
2000128,109978,Current,EUR,2024-03-24,,Active,93.5,2500
2000129,108153,Savings,SEK,2024-03-17,,Active,1003.28,0
2000130,117020,Business,EUR,2024-02-27,,Dormant,283.71,1000
2000131,105822,Current,EUR,2023-10-07,,Active,2846.31,0
2000132,123116,Current,EUR,2024-09-24,,Active,7925.23,0
2000133,117764,Current,SEK,2022-09-16,,Active,2158.84,500
2000134,114468,Current,EUR,2024-02-16,,Active,426.63,250
2000135,124938,Joint,EUR,2022-02-25,,Active,1287.27,0
2000136,101969,Current,EUR,2022-08-07,2023-03-05,Closed,680.66,0
2000137,900495,Current,EUR,2023-12-25,,Active,1371.79,1000
2000138,112647,Current,EUR,2023-04-08,,Active,20589.43,2500
2000139,115331,Current,EUR,2024-02-14,,Active,9045.39,250
2000140,102374,Business,EUR,2023-06-18,,Active,118.57,250
2000141,122264,Current,EUR,2025-02-03,,Active,125.43,1000
2000142,118551,Current,EUR,2022-01-25,,Active,299.97,1000
2000143,129415,Savings,EUR,2022-05-16,,Active,1677.68,0
2000144,118916,Business,EUR,2022-10-16,,Active,1106.97,500
2000145,118510,Savings,EUR,2023-02-09,,Active,2455.47,0
2000146,109626,Savings,EUR,2023-01-09,,Active,1573.9,0
2000147,113727,Savings,EUR,2022-07-27,,Active,2309.72,0
2000148,103285,Savings,EUR,2023-11-03,,Active,1706.23,0
2000149,106647,Savings,EUR,2023-05-31,,Active,455.37,0
2000150,121189,Savings,EUR,2023-06-01,,Dormant,210.32,0
2000151,125383,Current,EUR,2023-10-21,,Active,1184.58,2500
2000152,106435,Current,EUR,2023-11-22,,Active,437.2,2500
2000153,109524,Savings,EUR,2022-07-13,,Active,2920.69,0
2000154,118038,Current,EUR,2022-11-05,,Active,1550.67,2500
2000155,110703,Savings,EUR,2022-04-02,,Active,1875.22,0
2000156,102784,Current,EUR,2022-08-12,,Active,1147.05,2500
2000157,126689,Savings,EUR,2023-09-03,,Active,3452.0,0
2000158,122918,Current,EUR,2024-03-02,2024-09-02,Closed,132.38,1000
2000159,128631,Savings,PLN,2023-11-07,,Active,2528.27,0
2000160,116761,Savings,EUR,2022-10-12,,Active,874.77,0
2000161,107577,Joint,EUR,2023-08-30,,Active,1193.16,0
2000162,110094,Current,EUR,2022-03-22,,Dormant,3396.63,250
2000163,118353,Business,EUR,2022-10-09,,Dormant,2762.05,1000
2000164,113596,Current,EUR,2023-10-25,2024-01-06,Closed,2044.46,2500
2000165,102542,Current,EUR,2024-02-15,,Active,551.04,250
2000166,110922,Current,EUR,2023-10-08,,Active,907.47,500
2000167,120671,Current,EUR,2024-04-08,,Closed,239.68,0
2000168,120285,Current,EUR,2024-12-20,,Active,7566.39,500
2000169,122017,Current,EUR,2024-08-21,,Active,429.42,250
2000170,112784,Current,EUR,2022-11-09,,Dormant,2277.34,2500
2000171,120205,Business,EUR,2022-09-19,,Active,876.17,250
2000172,113854,Savings,PLN,2024-07-12,,Active,1886.31,0
2000173,107397,Savings,EUR,2022-11-25,,Active,214.89,0
2000174,103930,Current,EUR,2022-06-06,2024-03-04,Closed,1574.59,2500
2000175,119404,Current,EUR,2024-11-26,,Active,1356.86,500
2000176,104064,Savings,EUR,2022-01-14,,Active,1488.38,0
2000177,102351,Current,EUR,2024-05-22,,Active,584.63,0
2000178,116779,Current,EUR,2022-01-22,,Active,813.47,0
2000179,112365,Current,EUR,2023-12-01,,Active,2968.72,2500
2000180,100017,Current,EUR,2022-04-26,,Active,695.53,250
2000181,101040,Savings,EUR,2024-08-04,,Closed,158.21,0
2000182,128371,Current,EUR,2022-09-30,,Active,282.8,2500
2000183,112699,Current,EUR,2023-06-04,,Dormant,3424.57,250
2000184,115338,Joint,EUR,2023-05-11,,Active,1478.25,0
2000185,113793,Current,EUR,2024-06-22,,Active,3321.51,250
2000186,113578,Joint,PLN,2024-03-08,,Active,3261.84,0
2000187,108881,Savings,EUR,2023-06-21,,Closed,3151.78,0
2000188,127089,Savings,EUR,2024-04-24,,Active,910.56,0
2000189,125578,Joint,EUR,2023-05-01,2024-08-08,Closed,159.41,0
2000190,101994,Current,EUR,2023-10-19,,Active,955.5,0
2000191,121449,Savings,EUR,2023-01-30,,Dormant,849.31,0
2000192,123692,Savings,SEK,2024-02-01,,Active,3558.42,0
2000193,129131,Savings,EUR,2024-10-17,,Active,711.84,0
2000194,116976,Current,EUR,2023-11-01,,Dormant,-295.81,0
2000195,125479,Savings,EUR,2023-07-22,,Active,812.54,0
2000196,116085,Current,EUR,2024-12-12,,Active,264.64,500
2000197,106620,Joint,EUR,2024-10-06,,Closed,304.3,0
2000198,111310,Joint,EUR,2024-09-12,,Active,2305.96,0
2000199,121359,Current,EUR,2024-07-01,,Closed,9757.43,0
2000200,120750,Current,EUR,2022-04-05,,Active,581.23,1000
2000201,103473,Current,EUR,2022-04-04,2022-11-30,Closed,92.51,2500
2000202,121298,Current,EUR,2023-10-23,,Active,3538.12,250
2000203,105316,Savings,EUR,2022-02-21,,Active,252.78,0
2000204,118801,Current,PLN,2022-12-20,,Active,267.21,1000
2000205,117252,Joint,EUR,2024-03-14,,Active,1001.17,0
2000206,117392,Current,EUR,2023-02-02,,Active,919.3,2500
2000207,128499,Current,EUR,2024-12-04,,Active,1576.32,250
2000208,102448,Savings,EUR,2023-09-19,,Active,1832.36,0
2000209,102990,Current,EUR,2023-09-12,,Dormant,766.01,0
2000210,109437,Joint,EUR,2024-05-24,,Active,3395.0,0
2000211,122336,Current,EUR,2023-01-01,,Active,2297.46,2500
2000212,100509,Current,EUR,2023-07-14,,Closed,5834.15,2500
2000213,113488,Savings,EUR,2022-11-02,,Active,1063.55,0
2000214,129923,Current,EUR,2022-12-04,,Active,571.4,250
2000215,118638,Joint,EUR,2024-08-21,,Active,810.58,0
2000216,118324,Savings,EUR,2024-02-07,,Active,997.65,0
2000217,120013,Current,EUR,2023-01-23,,Active,598.32,0
2000218,102999,Savings,EUR,2022-06-30,,Active,949.96,0
2000219,128713,Savings,EUR,2024-05-23,,Active,1011.78,0
2000220,127714,Current,EUR,2023-10-03,2024-03-05,Closed,1034.82,250
2000221,117281,Current,EUR,2024-09-18,,Active,566.54,2500
2000222,103724,Business,EUR,2023-07-04,,Active,3823.58,2500
2000223,101053,Savings,PLN,2023-02-09,,Active,596.33,0
2000224,107680,Current,EUR,2023-01-24,,Active,7626.58,1000
2000225,100190,Current,EUR,2024-12-11,,Active,2602.92,1000
2000226,113321,Savings,EUR,2023-05-11,,Active,1126.05,0
2000227,108536,Current,EUR,2024-06-05,,Active,133.93,500
2000228,113575,Current,EUR,2024-10-26,,Active,-615.85,500
2000229,112435,Current,EUR,2023-11-17,2024-01-17,Closed,546.83,2500
2000230,104977,Current,EUR,2023-10-10,,Active,909.44,1000
2000231,128816,Savings,PLN,2022-12-09,,Active,6141.76,0
2000232,127049,Current,EUR,2024-12-12,,Dormant,1966.06,1000
2000233,118054,Business,EUR,2022-03-01,2024-05-04,Closed,1524.98,250
2000234,113759,Business,EUR,2022-03-26,,Active,516.63,1000
2000235,115243,Current,EUR,2022-02-23,2023-05-25,Closed,215.62,250
2000236,101657,Current,EUR,2025-01-06,,Active,10463.02,0
2000237,109409,Current,EUR,2024-07-09,,Active,5226.05,0
2000238,100038,Savings,EUR,2022-05-07,,Active,216.09,0
2000239,115339,Current,EUR,2024-03-14,,Active,113.9,500
2000240,108383,Joint,EUR,2022-07-21,,Active,325.6,0
2000241,123102,Current,EUR,2023-06-29,,Active,2071.39,2500
2000242,101229,Savings,EUR,2023-07-01,,Active,680.36,0
2000243,115824,Savings,EUR,2024-12-27,,Active,794.45,0
2000244,109752,Savings,EUR,2022-06-11,,Active,112.29,0
2000245,110024,Savings,EUR,2024-05-16,,Active,1909.51,0
2000246,113117,Business,EUR,2024-06-16,,Active,485.03,1000
2000247,126032,Current,EUR,2023-03-19,,Active,1478.63,500
2000248,110988,Current,EUR,2023-06-02,,Active,773.0,500
2000249,102333,Savings,EUR,2023-07-26,,Active,2906.8,0
2000250,129501,Current,EUR,2024-09-19,,Closed,554.91,1000
2000251,108337,Savings,EUR,2023-09-23,,Active,2357.89,0
2000252,119629,Current,EUR,2024-07-23,,Active,2208.78,0
2000253,121296,Current,EUR,2022-07-07,2024-10-30,Closed,786.41,1000
2000254,122286,Savings,EUR,2024-04-28,,Active,556.52,0
2000255,109105,Joint,EUR,2022-10-26,,Active,3383.02,0
2000256,124365,Current,EUR,2022-03-01,,Active,1807.84,250
2000257,122664,Current,EUR,2024-03-31,,Active,212.8,0
2000258,110124,Current,SEK,2022-11-28,,Active,4885.91,2500
2000259,113961,Current,EUR,2023-09-01,,Active,2046.11,250
2000260,105084,Current,EUR,2024-08-31,,Closed,591.11,1000
2000261,113005,Current,EUR,2022-11-06,,Active,345.13,0
2000262,112286,Current,EUR,2023-07-16,,Dormant,1265.98,1000
2000263,118472,Current,EUR,2022-08-23,,Active,659.97,500
2000264,129438,Savings,EUR,2024-06-17,,Active,787.33,0
2000265,900049,Savings,EUR,2022-08-31,,Active,674.14,0
2000266,104962,Savings,EUR,2023-02-23,,Active,2773.37,0
2000267,104291,Current,EUR,2022-05-08,,Active,1739.83,250
2000268,102625,Current,EUR,2024-10-19,,Active,1939.37,0
2000269,108511,Current,EUR,2025-03-10,,Active,365.94,250
2000270,117370,Current,EUR,2024-10-15,,Active,396.93,0
2000271,112604,Savings,EUR,2024-08-04,,Active,1176.04,0
2000272,110399,Current,EUR,2023-11-06,2024-11-07,Closed,3425.77,500
2000273,106147,Current,EUR,2023-04-29,,Active,6229.48,0
2000274,112527,Current,EUR,2024-06-13,,Dormant,385.03,500
2000275,112053,Savings,EUR,2024-04-20,,Active,346.4,0
2000276,112626,Current,EUR,2024-05-15,,Active,2302.63,2500
2000277,116827,Savings,EUR,2023-05-14,,Active,811.02,0
2000278,900010,Business,EUR,2022-02-21,,Active,3555.35,500
2000279,110321,Current,EUR,2024-01-21,,Active,2362.34,1000
2000280,118227,Business,EUR,2024-03-24,,Active,247.3,250
2000281,129020,Current,EUR,2022-03-04,,Dormant,1432.17,0
2000282,109870,Current,EUR,2024-06-25,,Closed,1024.95,500
2000283,114585,Current,EUR,2023-01-25,,Active,771.75,1000
2000284,110987,Current,PLN,2022-03-22,,Active,1267.76,500
2000285,124297,Current,EUR,2025-01-02,,Active,1890.89,250
2000286,123285,Current,EUR,2023-05-22,,Active,568.96,1000
2000287,103406,Joint,EUR,2022-11-15,,Active,1955.94,0
2000288,119950,Savings,EUR,2022-09-14,,Active,1219.69,0
2000289,100002,Current,EUR,2024-03-04,,Active,195.85,500
2000290,102314,Current,EUR,2023-11-21,,Active,215.7,1000
2000291,120105,Current,EUR,2023-11-23,,Active,7297.67,500
2000292,120154,Current,EUR,2023-02-11,,Active,3309.87,500
2000293,102091,Current,EUR,2024-05-15,,Active,1181.99,0
2000294,106327,Current,EUR,2024-07-27,,Active,9349.85,250
2000295,128137,Current,EUR,2022-03-21,2022-07-03,Closed,252.3,2500
2000296,127721,Savings,EUR,2023-08-25,,Active,4051.29,0
2000297,118183,Savings,EUR,2022-06-12,,Active,4952.34,0
2000298,113447,Current,EUR,2022-10-19,,Active,179.98,2500
2000299,114070,Current,EUR,2024-04-10,,Active,1188.52,0
2000300,116838,Savings,EUR,2024-05-18,,Active,4006.53,0
2000301,120886,Current,EUR,2024-08-18,,Active,350.66,0
2000302,109418,Savings,EUR,2022-05-31,,Active,830.01,0
2000303,123868,Business,EUR,2023-10-16,,Active,1304.23,500
2000304,113597,Current,EUR,2022-12-08,,Active,5749.68,250
2000305,121355,Business,EUR,2024-10-08,,Active,3486.3,1000
2000306,117945,Current,EUR,2024-02-13,,Active,647.3,0
2000307,115618,Current,EUR,2023-04-26,,Active,792.45,1000
2000308,104075,Current,EUR,2022-09-17,,Active,921.91,1000
2000309,124943,Savings,EUR,2023-03-10,,Active,1099.25,0
2000310,123221,Savings,EUR,2022-06-05,,Active,4821.28,0
2000311,120447,Current,EUR,2023-01-28,,Active,285.72,2500
2000312,104049,Current,EUR,2022-07-27,,Active,2930.51,250
2000313,103324,Savings,EUR,2022-08-26,,Active,1692.26,0
2000314,115590,Business,EUR,2022-05-09,,Active,819.83,250
2000315,125793,Current,EUR,2025-01-30,,Active,9157.36,2500
2000316,121721,Savings,PLN,2024-01-12,,Active,412.38,0
2000317,107135,Business,EUR,2023-07-15,,Active,6857.82,250
2000318,117327,Business,EUR,2024-08-04,,Active,3565.33,500
2000319,112559,Current,EUR,2023-06-27,,Active,2221.59,500
2000320,127950,Current,EUR,2023-11-12,,Active,1439.38,500
2000321,104077,Current,EUR,2023-03-15,,Active,831.07,500
2000322,106090,Current,EUR,2022-04-21,,Active,578.85,500
2000323,122048,Savings,EUR,2023-03-15,,Active,1194.59,0
2000324,108899,Current,EUR,2022-12-28,,Active,923.6,0
2000325,118085,Savings,EUR,2023-02-12,,Active,1145.96,0
2000326,112424,Current,EUR,2023-12-24,,Active,1281.59,0
2000327,117042,Current,EUR,2022-05-05,,Active,923.26,2500
2000328,111377,Savings,EUR,2022-04-21,,Active,2278.65,0
2000329,105098,Current,EUR,2022-05-16,,Dormant,3272.58,500
2000330,111310,Business,EUR,2024-09-12,,Closed,718.82,500
2000331,128028,Current,EUR,2024-11-20,,Active,584.74,1000
2000332,113769,Current,EUR,2023-09-09,,Active,5723.01,2500
2000333,108623,Savings,SEK,2022-10-06,,Active,2932.21,0
2000334,117654,Current,EUR,2022-09-18,2024-06-20,Closed,1824.33,0
2000335,104616,Savings,EUR,2022-06-29,,Active,1206.94,0
2000336,117799,Savings,EUR,2023-01-04,2023-07-10,Closed,379.66,0
2000337,126046,Current,EUR,2022-06-23,,Active,1196.99,500
2000338,129261,Business,EUR,2022-07-26,,Active,4939.43,500
2000339,116115,Current,EUR,2023-06-24,,Active,6293.89,500
2000340,111331,Current,EUR,2022-05-10,,Active,1002.06,1000
2000341,100756,Savings,EUR,2024-02-28,,Active,6383.95,0
2000342,120311,Savings,EUR,2024-09-05,,Closed,892.1,0
2000343,120155,Business,EUR,2023-08-21,,Active,1109.51,0
2000344,127447,Savings,EUR,2023-02-12,,Active,863.52,0
2000345,108701,Savings,EUR,2023-10-14,2024-10-12,Closed,729.38,0
2000346,900461,Current,EUR,2022-02-16,,Active,489.46,1000
2000347,122940,Savings,EUR,2024-05-18,,Active,407.64,0
2000348,101379,Joint,EUR,2022-04-09,,Active,5836.04,0
2000349,118140,Current,PLN,2024-10-22,,Active,1790.9,1000
2000350,110186,Current,EUR,2023-12-29,,Active,4024.32,250
2000351,114596,Current,EUR,2023-11-18,,Active,4698.54,250
2000352,105511,Current,EUR,2024-10-14,,Active,2912.91,250
2000353,114284,Current,PLN,2022-04-04,,Active,1671.8,500
2000354,121915,Current,EUR,2023-07-29,,Active,1083.48,500
2000355,123226,Savings,EUR,2024-12-05,,Active,669.02,0
2000356,101964,Current,EUR,2023-04-19,,Active,642.15,500
2000357,105280,Current,EUR,2024-11-05,,Active,1783.68,500
2000358,100975,Business,EUR,2022-05-21,,Active,2608.88,0
2000359,103639,Business,EUR,2023-10-14,,Active,2561.96,0
2000360,105000,Savings,EUR,2023-04-24,2024-04-19,Closed,2998.95,0
2000361,118558,Current,SEK,2023-12-05,,Active,-1308.47,250
2000362,115897,Business,EUR,2022-08-23,,Active,4767.14,250
2000363,111848,Savings,EUR,2024-03-01,,Active,672.0,0
2000364,121119,Current,EUR,2022-07-02,,Active,293.36,2500
2000365,104371,Current,EUR,2022-09-18,,Active,777.18,2500
2000366,122203,Current,EUR,2022-04-10,2024-07-03,Closed,1115.63,500
2000367,108384,Savings,EUR,2024-09-26,,Active,5249.08,0
2000368,102935,Joint,EUR,2024-09-16,,Active,1469.4,0
2000369,116447,Current,EUR,2024-04-25,,Closed,1331.8,0
2000370,121926,Savings,EUR,2024-06-28,,Active,643.04,0
2000371,119517,Savings,EUR,2024-05-08,,Active,772.39,0
2000372,102588,Current,PLN,2025-01-10,,Active,1392.46,500
2000373,129559,Current,EUR,2024-03-04,,Active,9092.29,250
2000374,126156,Business,EUR,2023-11-15,,Active,3721.15,250
2000375,113321,Business,EUR,2023-04-10,,Active,674.07,2500
2000376,128011,Current,EUR,2022-07-20,,Active,858.52,0
2000377,107574,Savings,EUR,2023-12-22,,Active,3606.47,0
2000378,118273,Business,EUR,2023-02-18,2024-05-15,Closed,5106.31,1000
2000379,116764,Current,EUR,2024-11-16,,Active,492.52,250
2000380,117747,Current,SEK,2023-07-10,,Active,103.4,2500
2000381,101889,Savings,EUR,2022-08-09,,Active,895.94,0
2000382,104553,Business,EUR,2023-07-30,,Active,2509.38,1000
2000383,110458,Savings,EUR,2023-09-28,2023-12-05,Closed,882.45,0
2000384,124748,Savings,EUR,2023-07-26,,Active,902.72,0
2000385,122477,Joint,EUR,2024-01-05,,Dormant,1841.38,0
2000386,110114,Current,SEK,2024-07-26,,Active,4633.51,1000
2000387,126880,Current,EUR,2024-04-11,,Active,3431.38,500
2000388,112422,Savings,EUR,2023-11-25,,Closed,18447.71,0
2000389,127194,Savings,EUR,2022-06-24,,Active,4353.93,0
2000390,129815,Current,SEK,2022-02-12,,Dormant,1297.85,0
2000391,121622,Savings,EUR,2023-06-13,,Active,159.85,0
2000392,112339,Current,EUR,2023-04-26,,Dormant,1998.58,0
2000393,120317,Savings,EUR,2022-07-31,,Active,1585.68,0
2000394,127786,Current,EUR,2023-08-31,,Active,91.66,0
2000395,101212,Savings,EUR,2024-09-16,,Active,368.91,0
2000396,114674,Joint,PLN,2023-07-20,,Active,448.42,0
2000397,106745,Savings,EUR,2025-01-09,,Dormant,1299.76,0
2000398,110411,Current,EUR,2022-02-24,,Active,211.28,2500
2000399,114053,Savings,EUR,2023-07-03,,Active,5695.33,0
2000400,109245,Savings,EUR,2023-12-19,,Active,146.93,0
2000401,126602,Savings,PLN,2023-07-19,,Active,3413.23,0
2000402,100237,Current,EUR,2024-01-13,,Active,602.53,1000
2000403,117497,Business,EUR,2023-04-28,,Active,2000.07,2500
2000404,900033,Current,EUR,2022-03-29,,Active,488.4,1000
2000405,123029,Current,EUR,2022-04-06,2023-11-22,Closed,1736.76,0
2000406,129228,Current,EUR,2022-11-30,,Active,1009.67,0
2000407,122044,Current,EUR,2023-01-31,,Active,5944.37,0
2000408,127280,Current,EUR,2024-07-25,,Active,435.65,250
2000409,108671,Savings,EUR,2023-04-28,2024-06-22,Closed,1388.14,0
2000410,105622,Current,EUR,2023-04-17,,Active,381.05,250
2000411,109587,Business,EUR,2024-10-28,,Active,2873.96,0
2000412,102706,Business,EUR,2023-10-29,,Active,1494.26,0
2000413,123775,Current,EUR,2024-02-17,,Active,-1027.12,0
2000414,101412,Current,EUR,2024-04-10,,Active,488.65,500
2000415,107934,Savings,EUR,2023-06-29,,Active,424.49,0
2000416,900217,Joint,EUR,2024-12-15,,Active,12619.17,0
2000417,122895,Savings,EUR,2022-07-10,,Active,856.69,0
2000418,110789,Business,EUR,2024-03-27,,Dormant,4067.58,1000
2000419,102146,Savings,EUR,2024-01-06,,Active,284.57,0
2000420,105872,Current,EUR,2023-10-02,,Active,235.51,1000
2000421,123044,Business,EUR,2023-10-11,2024-05-05,Closed,441.79,2500
2000422,110267,Savings,EUR,2022-12-08,,Active,724.38,0
2000423,104754,Current,EUR,2024-10-15,,Closed,837.59,1000
