card_id,customer_id,account_id,card_type,card_status,issued_date,expiry_date,contactless_enabled
3000049,124181,2008646,Debit,Active,2022-06-20,2027-04-20,True
3000050,111245,2007730,Debit,Active,2024-07-23,2029-02-10,True
3000051,118385,2025471,Credit,Active,2023-12-18,2028-01-05,True
3000052,128180,2030339,Debit,Expired,2023-07-04,2026-12-03,True
3000053,102328,2031767,Debit,Active,2022-03-22,2027-02-02,True
3000054,117743,2035399,Debit,Active,2023-09-12,2027-01-03,True
3000055,103574,2015278,Debit,Expired,2023-02-27,2026-10-17,False
3000056,129595,2021507,Virtual,Expired,2023-08-01,2027-05-10,True
3000057,100648,2035319,Debit,Active,2023-09-29,2027-04-20,True
3000058,123424,2002723,Debit,Active,2023-09-30,2028-04-01,True
3000059,115909,2009042,Debit,Active,2022-05-10,2025-07-16,False
3000060,900344,2037112,Debit,Active,2022-03-06,2025-12-09,True
3000061,104864,2003713,Credit,Active,2023-06-23,2027-08-13,True
3000062,123390,2033333,Credit,Active,2024-09-30,2027-08-16,True
3000063,122178,2015963,Debit,Active,2022-04-21,2026-05-29,True
3000064,123867,2014632,Debit,Active,2023-12-12,2029-01-23,True
3000065,125053,2023603,Debit,Active,2024-08-23,2028-05-07,True
3000066,128554,2029835,Credit,Active,2023-12-21,2027-03-05,True
3000067,128383,2014283,Debit,Active,2023-03-22,2025-12-12,True
3000068,113593,2017720,Credit,Blocked,2022-05-15,2026-08-31,True
3000069,107919,2014565,Credit,Active,2022-05-26,2026-02-14,True
3000070,122187,2037596,Debit,Expired,2024-02-12,2026-09-22,False
3000071,104046,2037706,Debit,Active,2022-08-21,2026-07-22,True
3000072,106066,2027967,Debit,Active,2023-01-01,2027-03-13,False
3000073,115862,2018593,Virtual,Active,2024-02-18,2026-08-11,True
3000074,100672,2035612,Credit,Active,2022-04-25,2026-09-04,False
3000075,116973,2006045,Credit,Active,2023-12-03,2027-07-03,False
3000076,113471,2041096,Credit,Active,2022-12-12,2026-11-27,True
3000077,128317,2033820,Virtual,Expired,2024-10-20,2029-10-08,True
3000078,123488,2014984,Debit,Active,2023-08-01,2027-10-24,False
3000079,127978,2008718,Virtual,Expired,2023-07-28,2026-01-26,True
3000080,118384,2039356,Credit,Cancelled,2023-03-03,2027-07-27,True
3000081,113340,2011105,Debit,Blocked,2024-06-21,2028-02-04,True
3000082,117327,2000318,Debit,Active,2023-11-19,2028-12-15,True
3000083,116558,2001056,Virtual,Active,2023-09-04,2028-08-30,False
3000084,103365,2034281,Virtual,Active,2022-09-04,2025-03-06,True
3000085,122760,2011091,Debit,Active,2023-07-14,2027-06-10,True
3000086,105728,2041704,Debit,Active,2023-03-27,2026-11-23,False
3000087,123674,2011764,Credit,Active,2022-06-14,2026-07-15,False
3000088,114754,2029128,Credit,Cancelled,2022-06-11,2026-02-20,False
3000089,107804,2031704,Debit,Active,2022-06-07,2027-08-04,True
3000090,118433,2037432,Virtual,Active,2023-07-29,2026-10-20,True
3000091,107906,2021564,Credit,Expired,2023-01-31,2026-10-14,True
3000092,113466,2031828,Debit,Active,2023-05-20,2027-07-17,True
3000093,107648,2012408,Debit,Active,2023-01-06,2026-10-21,True
3000094,122176,2014184,Debit,Active,2022-04-18,2027-03-20,True
3000095,110603,2030107,Debit,Active,2022-05-25,2026-04-11,True
3000096,117349,2006560,Debit,Active,2023-10-07,2028-11-10,True
3000097,114196,2012437,Debit,Active,2023-12-23,2028-05-11,True
3000098,110961,2040751,Debit,Active,2023-03-09,2026-05-24,False
3000099,111858,2001298,Debit,Active,2024-03-16,2029-02-21,True
3000100,104520,2010002,Debit,Active,2024-10-21,2027-11-04,False
3000101,113961,2026682,Debit,Cancelled,2022-09-17,2026-07-16,True
3000102,121889,2026538,Debit,Active,2022-12-04,2027-05-30,False
3000103,125064,2007146,Credit,Active,2023-10-13,2027-02-28,True
3000104,126414,2009709,Debit,Blocked,2023-11-05,2027-07-09,True
3000105,104013,2002916,Debit,Active,2022-07-02,2026-02-05,True
3000106,104651,2038615,Debit,Active,2024-02-16,2027-10-11,True
3000107,122711,2019376,Credit,Active,2023-03-09,2026-04-01,True
3000108,112866,2041058,Debit,Expired,2023-11-30,2026-08-29,True
3000109,105517,2016830,Debit,Active,2023-09-07,2026-11-26,False
3000110,125358,2018030,Credit,Active,2022-05-19,2025-12-09,True
3000111,128974,2018646,Debit,Active,2023-07-11,2027-09-06,True
3000112,113085,2018825,Debit,Active,2023-01-15,2027-05-23,True
3000113,103080,2012354,Debit,Active,2024-09-04,2029-08-07,True
3000114,122657,2024149,Debit,Active,2022-03-25,2025-07-13,False
3000115,122705,2026252,Credit,Active,2024-06-05,2029-07-07,True
3000116,121945,2030598,Credit,Active,2022-03-05,2026-10-06,True
3000117,100731,2007162,Debit,Active,2024-08-16,2027-03-16,True
3000118,111603,2009543,Debit,Active,2023-05-14,2027-11-29,True
3000119,123173,2001001,Virtual,Blocked,2023-04-30,2027-08-13,True
3000120,104578,2034457,Debit,Active,2023-12-16,2027-12-23,False
3000121,101677,2021651,Debit,Active,2024-04-13,2027-05-21,False
3000122,102566,2027751,Debit,Expired,2022-07-16,2026-10-17,True
3000123,101237,2027314,Debit,Active,2024-01-25,2028-12-08,False
3000124,104699,2024259,Debit,Blocked,2022-11-28,2027-06-15,True
3000125,124910,2034276,Credit,Active,2024-09-13,2028-07-05,True
3000126,127768,2036896,Credit,Blocked,2022-03-17,2025-01-29,True
3000127,127089,2026603,Virtual,Active,2024-07-10,2027-04-26,True
3000128,115367,2016595,Credit,Active,2023-07-22,2028-07-27,True
3000129,118615,2030480,Virtual,Active,2023-07-03,2026-06-28,False
3000130,109782,2018386,Debit,Active,2024-04-10,2027-09-30,True
3000131,117433,2028317,Debit,Active,2024-11-28,2028-11-01,True
3000132,101335,2025036,Debit,Active,2023-08-11,2027-06-29,True
3000133,119249,2015291,Credit,Blocked,2022-07-16,2026-11-28,True
3000134,117193,2017958,Debit,Active,2024-06-14,2027-09-23,True
3000135,128210,2002976,Debit,Active,2024-11-01,2028-11-10,True
3000136,124641,2019195,Debit,Active,2024-08-13,2029-01-19,False
3000137,129870,2032315,Virtual,Active,2024-07-27,2027-03-17,True
3000138,102434,2041208,Debit,Expired,2022-04-26,2025-01-29,True
3000139,124886,2014041,Credit,Cancelled,2022-12-27,2026-11-16,True
3000140,111598,2023908,Debit,Active,2022-02-05,2026-03-20,False
3000141,103365,2005727,Debit,Active,2024-09-10,2028-01-28,True
3000142,111801,2017334,Debit,Active,2024-05-07,2028-09-11,True
3000143,126152,2014959,Debit,Active,2024-11-13,2027-07-06,False
3000144,102279,2027222,Debit,Active,2024-08-02,2029-05-11,True
3000145,104127,2014073,Debit,Active,2024-04-12,2026-11-24,True
3000146,109348,2003957,Debit,Active,2024-01-26,2026-10-07,True
3000147,117002,2016591,Debit,Active,2024-01-28,2028-08-05,True
3000148,111893,2019884,Debit,Active,2024-02-09,2028-06-15,True
3000149,102692,2025490,Virtual,Cancelled,2023-02-01,2027-08-24,True
3000150,103436,2028287,Virtual,Active,2023-01-24,2028-03-23,False
3000151,109182,2025810,Debit,Active,2023-12-28,2027-12-04,True
3000152,103252,2016167,Debit,Cancelled,2024-02-12,2027-07-27,True
3000153,106289,2000662,Credit,Active,2022-11-21,2025-12-19,True
3000154,101691,2007988,Debit,Active,2023-09-26,2028-08-07,True
3000155,112220,2018134,Debit,Active,2024-01-31,2028-07-20,True
3000156,118853,2027771,Credit,Active,2024-11-21,2028-06-16,True
3000157,109931,2022677,Virtual,Active,2022-02-16,2025-02-08,False
3000158,122772,2003928,Credit,Active,2022-06-23,2026-01-10,True
3000159,122424,2011920,Debit,Active,2023-09-18,2027-12-07,False
3000160,125804,2039547,Debit,Blocked,2024-06-17,2027-11-13,True
3000161,115024,2017962,Debit,Active,2024-09-21,2029-02-12,False
3000162,105707,2009397,Credit,Active,2024-10-28,2029-06-08,True
3000163,118677,2002726,Credit,Active,2022-12-28,2028-01-03,False
3000164,111350,2026909,Debit,Active,2023-10-09,2027-06-17,True
3000165,108162,2028731,Debit,Active,2024-02-23,2027-01-25,True
3000166,111747,2023661,Debit,Cancelled,2024-11-13,2029-01-08,True
3000167,100850,2017769,Debit,Active,2023-05-26,2027-05-21,True
3000168,105033,2035303,Virtual,Active,2024-08-27,2028-11-14,True
3000169,123935,2024790,Credit,Cancelled,2024-09-04,2029-11-06,True
3000170,102880,2022028,Virtual,Active,2024-02-12,2029-01-16,True
3000171,103708,2012830,Debit,Active,2023-09-22,2028-06-29,True
3000172,116384,2019053,Credit,Active,2024-04-11,2027-09-22,True
3000173,108879,2004880,Credit,Active,2023-04-02,2026-01-15,True
3000174,113942,2034520,Credit,Cancelled,2022-11-22,2027-02-12,True
3000175,110541,2015016,Debit,Expired,2022-09-03,2026-05-29,True
3000176,104808,2030295,Virtual,Cancelled,2023-02-21,2027-09-07,True
3000177,108131,2026047,Debit,Active,2023-01-22,2026-11-10,True
3000178,125899,2022065,Debit,Active,2022-06-14,2027-07-28,True
3000179,102591,2037990,Debit,Active,2022-01-12,2024-11-24,False
3000180,129477,2025955,Credit,Active,2022-01-26,2025-03-29,False
3000181,109741,2041141,Credit,Active,2022-03-22,2026-10-05,True
3000182,107541,2037145,Debit,Active,2024-10-27,2028-12-08,True
3000183,100710,2037895,Debit,Active,2024-03-11,2026-11-26,True
3000184,102159,2033615,Debit,Active,2022-04-25,2027-03-06,True
3000185,129032,2039268,Debit,Active,2022-05-15,2025-04-07,False
3000186,900485,2001343,Debit,Active,2022-04-27,2026-11-15,True
3000187,113870,2030497,Debit,Active,2024-11-29,2028-09-26,True
3000188,106670,2019422,Debit,Active,2023-10-11,2027-10-12,True
3000189,102478,2040269,Virtual,Cancelled,2024-06-23,2029-04-01,False
3000190,103199,2013058,Debit,Active,2024-03-11,2028-11-18,False
3000191,900247,2012713,Credit,Active,2023-04-26,2026-04-29,True
3000192,107422,2012592,Debit,Active,2023-08-16,2026-10-06,True
3000193,101008,2034947,Debit,Active,2024-09-11,2028-01-16,False
3000194,110547,2004816,Debit,Cancelled,2023-02-08,2027-03-20,True
3000195,106252,2007957,Virtual,Active,2022-05-28,2025-02-07,True
3000196,119830,2013372,Credit,Active,2024-03-13,2027-04-16,True
3000197,115178,2001269,Debit,Active,2022-11-28,2026-02-15,True
3000198,115226,2022973,Debit,Cancelled,2022-06-23,2026-12-19,True
3000199,105635,2003906,Debit,Active,2023-07-29,2027-02-08,True
3000200,101600,2002274,Debit,Active,2023-12-28,2028-01-19,True
3000201,118474,2029581,Debit,Active,2022-11-01,2026-05-18,True
3000202,128116,2013510,Debit,Active,2024-02-01,2028-11-05,True
3000203,114381,2036952,Credit,Active,2024-01-27,2027-04-25,True
3000204,125332,2041200,Debit,Active,2023-08-14,2027-05-07,True
3000205,109291,2000505,Credit,Active,2023-06-22,2027-07-12,True
3000206,102318,2038492,Virtual,Active,2023-08-14,2028-08-03,True
3000207,900419,2020000,Credit,Active,2023-06-05,2026-08-14,True
3000208,123181,2034736,Virtual,Active,2022-08-04,2026-05-30,True
3000209,111072,2014571,Debit,Active,2022-11-08,2026-08-17,True
3000210,112598,2009796,Debit,Expired,2024-11-17,2029-09-19,False
3000211,109489,2005319,Credit,Active,2024-10-05,2029-05-26,True
3000212,127988,2033984,Debit,Cancelled,2023-11-15,2028-06-11,True
3000213,129387,2026953,Credit,Active,2022-07-26,2026-07-22,True
3000214,121106,2028230,Debit,Active,2023-09-02,2027-02-18,False
3000215,116596,2021825,Debit,Active,2023-09-29,2027-11-26,True
3000216,105815,2008835,Debit,Active,2024-05-24,2029-03-15,True
3000217,900338,2005281,Virtual,Active,2023-12-05,2026-11-17,True
3000218,115879,2014352,Debit,Active,2022-11-27,2026-09-10,True
3000219,104677,2036260,Debit,Active,2023-07-01,2027-11-11,True
3000220,129960,2017655,Credit,Active,2022-03-09,2026-04-16,True
3000221,121757,2005417,Virtual,Active,2022-10-19,2027-02-03,True
3000222,106242,2011078,Virtual,Active,2022-01-26,2026-04-11,True
3000223,100363,2011906,Credit,Expired,2022-04-09,2026-11-06,False
3000224,108011,2014790,Debit,Active,2024-03-03,2028-07-01,True
3000225,112088,2001873,Debit,Active,2022-03-10,2024-11-07,False
3000226,110781,2033938,Debit,Active,2024-09-15,2028-06-10,True
3000227,128379,2008817,Virtual,Active,2024-07-19,2028-12-01,True
3000228,128698,2028180,Credit,Active,2023-12-20,2027-01-11,False
3000229,124767,2004982,Credit,Active,2024-08-20,2028-03-01,True
3000230,111754,2017232,Debit,Cancelled,2023-06-15,2027-02-13,True
3000231,116483,2030126,Virtual,Active,2022-07-31,2025-05-29,True
3000232,107430,2015068,Credit,Active,2024-06-25,2029-01-07,True
3000233,106795,2023974,Debit,Active,2022-04-10,2024-10-31,True
3000234,123509,2026900,Credit,Active,2023-08-16,2026-10-21,False
3000235,121294,2019137,Debit,Active,2023-02-11,2027-10-30,True
3000236,122266,2029838,Debit,Active,2022-05-07,2025-05-17,True
3000237,104489,2017681,Debit,Active,2024-10-19,2028-11-02,True
3000238,111349,2022659,Virtual,Active,2023-07-06,2027-04-06,True
3000239,127136,2028053,Debit,Active,2022-06-15,2027-03-24,True
3000240,105423,2039494,Debit,Active,2023-01-07,2028-02-25,True
3000241,114659,2026458,Credit,Active,2023-10-08,2027-05-22,True
3000242,127781,2003955,Credit,Active,2023-01-27,2026-09-11,True
3000243,105972,2025606,Debit,Active,2024-03-28,2027-07-16,False
3000244,110893,2013288,Virtual,Active,2022-12-19,2026-06-06,True
3000245,100345,2037514,Credit,Active,2024-06-12,2028-08-01,True
3000246,109913,2023067,Credit,Expired,2023-01-16,2025-11-10,False
3000247,127988,2033984,Credit,Active,2022-09-02,2025-08-09,True
3000248,104127,2009500,Virtual,Active,2023-07-13,2027-10-30,True
3000249,122189,2009928,Virtual,Active,2022-05-31,2027-06-05,True
3000250,124696,2013918,Debit,Active,2022-05-03,2026-05-06,True
3000251,124731,2033575,Virtual,Active,2022-08-31,2025-08-06,True
3000252,129395,2020904,Credit,Blocked,2023-08-18,2028-02-01,True
3000253,114067,2027900,Debit,Active,2022-04-20,2026-05-21,True
3000254,128459,2023432,Virtual,Active,2022-09-20,2026-04-20,True
3000255,104987,2025924,Credit,Active,2022-01-14,2026-10-06,True
3000256,103306,2011732,Debit,Expired,2023-10-15,2028-08-05,True
3000257,126104,2009033,Credit,Active,2024-06-23,2028-03-20,True
3000258,112174,2015798,Debit,Active,2022-08-01,2026-02-14,True
3000259,128677,2008873,Credit,Active,2024-09-09,2027-07-14,True
3000260,104037,2021579,Debit,Active,2023-04-03,2027-10-14,True
3000261,129549,2038236,Debit,Active,2024-02-29,2029-02-19,True
3000262,121259,2007426,Debit,Active,2024-04-23,2028-10-23,True
3000263,118469,2030243,Credit,Active,2024-07-22,2028-09-13,True
3000264,120859,2012251,Debit,Active,2022-09-15,2027-03-14,True
3000265,118956,2032558,Debit,Active,2022-12-12,2027-08-09,True
3000266,122577,2031787,Debit,Active,2024-09-09,2029-10-13,True
3000267,100508,2019837,Virtual,Active,2022-03-25,2026-05-06,True
3000268,117349,2006560,Debit,Expired,2022-11-15,2025-08-12,True
3000269,106913,2023291,Credit,Active,2024-05-21,2029-04-06,False
3000270,111248,2005179,Debit,Active,2024-06-15,2028-10-31,True
3000271,116536,2013523,Virtual,Active,2024-10-21,2028-12-28,False
3000272,101917,2032900,Credit,Expired,2024-04-04,2029-05-26,True
3000273,121569,2040334,Debit,Active,2023-05-20,2027-07-29,False
3000274,107909,2012370,Debit,Active,2022-04-05,2026-06-21,True
3000275,123119,2024419,Debit,Active,2023-11-01,2027-03-25,True
3000276,102219,2032295,Virtual,Active,2024-08-10,2028-04-04,True
3000277,105130,2010049,Virtual,Active,2024-01-31,2028-06-29,True
3000278,119298,2023094,Virtual,Active,2022-05-11,2025-05-16,True
3000279,118418,2033412,Debit,Active,2022-11-07,2025-11-27,True
3000280,123507,2012712,Debit,Active,2024-04-27,2028-08-10,True
3000281,124402,2035805,Virtual,Active,2023-08-08,2026-03-30,True
3000282,117394,2014985,Debit,Active,2022-06-09,2025-03-20,True
3000283,128367,2030776,Virtual,Active,2022-11-26,2027-05-27,False
3000284,126207,2024148,Debit,Active,2022-03-08,2026-09-23,False
3000285,114169,2002514,Debit,Expired,2023-09-13,2028-01-17,False
3000286,120079,2012512,Credit,Active,2022-05-05,2025-07-07,True
3000287,127768,2008024,Debit,Active,2024-03-09,2028-02-17,True
3000288,126529,2031067,Debit,Active,2022-06-28,2026-10-15,True
3000289,112409,2036934,Virtual,Active,2022-06-13,2025-09-19,True
3000290,106010,2009325,Debit,Active,2024-06-07,2027-08-19,True
3000291,121971,2020738,Debit,Active,2022-04-12,2027-01-17,True
3000292,104413,2035999,Debit,Active,2023-05-12,2027-04-14,True
3000293,117584,2019599,Credit,Active,2022-03-07,2025-01-11,False
3000294,117218,2018412,Virtual,Cancelled,2023-02-17,2027-09-11,False
3000295,115069,2018979,Credit,Active,2023-03-18,2028-05-28,True
3000296,128187,2024892,Debit,Active,2024-04-21,2027-08-27,True
3000297,106274,2013428,Debit,Blocked,2023-04-27,2026-07-03,True
3000298,100974,2034315,Debit,Active,2022-10-07,2027-03-04,True
3000299,129596,2019449,Credit,Active,2023-03-06,2027-12-03,False
3000300,111913,2024295,Debit,Active,2022-11-10,2026-04-13,False
3000301,124590,2009168,Debit,Active,2022-03-10,2025-12-10,True
3000302,105158,2018012,Virtual,Blocked,2022-10-18,2026-03-22,True
3000303,122577,2031787,Debit,Active,2023-02-22,2027-10-20,False
3000304,129568,2011570,Credit,Blocked,2022-12-22,2025-06-28,True
3000305,101353,2034302,Virtual,Active,2024-02-14,2028-10-27,True
3000306,111455,2006912,Debit,Active,2023-12-03,2028-05-16,True
3000307,105215,2016317,Debit,Blocked,2023-04-16,2028-04-02,True
3000308,115012,2004757,Debit,Active,2024-05-11,2027-03-21,False
3000309,125756,2004727,Virtual,Active,2024-03-13,2027-12-11,True
3000310,124641,2019195,Debit,Active,2024-08-25,2027-03-23,True
3000311,101943,2021546,Debit,Active,2024-09-19,2029-10-25,True
3000312,112498,2016812,Debit,Expired,2023-11-19,2027-05-24,True
3000313,129056,2036621,Credit,Active,2024-08-09,2029-04-28,True
3000314,120365,2000904,Debit,Active,2022-04-28,2025-03-27,True
3000315,126382,2000046,Virtual,Active,2022-03-04,2025-05-06,True
3000316,109280,2039229,Debit,Active,2023-12-25,2028-05-09,True
3000317,123437,2036230,Debit,Active,2023-08-06,2027-05-07,True
3000318,102570,2029178,Debit,Active,2023-03-06,2026-04-13,True
3000319,900454,2020818,Debit,Active,2022-07-24,2026-06-07,True
3000320,119731,2031049,Virtual,Active,2024-03-06,2027-07-21,True
3000321,102870,2034356,Debit,Active,2024-09-17,2028-04-30,True
3000322,114345,2005290,Virtual,Active,2024-04-15,2028-11-25,True
3000323,102249,2020810,Debit,Active,2024-02-06,2028-12-20,True
3000324,125210,2033641,Virtual,Active,2024-06-30,2029-01-17,True
3000325,119661,2033786,Debit,Active,2022-05-18,2026-11-28,True
3000326,120272,2041419,Virtual,Blocked,2022-10-02,2026-05-02,True
3000327,117896,2012646,Virtual,Blocked,2024-05-22,2028-12-17,True
3000328,118882,2032940,Debit,Expired,2022-03-06,2026-10-30,False
3000329,110002,2018576,Debit,Active,2023-01-17,2025-08-01,True
3000330,100715,2001099,Debit,Active,2023-12-17,2027-06-05,True
3000331,105518,2009776,Debit,Active,2023-08-12,2028-02-10,True
3000332,105673,2004579,Debit,Cancelled,2022-11-05,2025-07-26,True
3000333,104901,2021171,Credit,Active,2023-08-11,2026-05-08,True
3000334,120318,2006822,Credit,Active,2022-12-03,2027-04-18,False
3000335,119680,2033665,Debit,Active,2022-05-24,2025-07-24,True
3000336,117806,2005296,Credit,Active,2023-03-25,2028-05-28,True
3000337,107280,2001982,Debit,Active,2024-02-09,2028-08-08,True
3000338,118046,2001062,Debit,Blocked,2024-04-04,2026-12-12,False
3000339,900460,2016041,Virtual,Active,2023-06-04,2025-12-26,True
3000340,119306,2031720,Virtual,Active,2022-07-01,2025-01-04,True
3000341,102072,2015384,Debit,Expired,2022-10-05,2027-10-07,True
3000342,106763,2029751,Debit,Active,2023-09-25,2027-06-13,True
3000343,128638,2025305,Debit,Active,2023-03-25,2026-09-12,True
3000344,900125,2032412,Credit,Active,2023-07-05,2028-08-20,True
3000345,107799,2006557,Credit,Active,2022-07-24,2026-08-13,True
3000346,105408,2003870,Debit,Active,2022-12-23,2025-07-10,False
3000347,105459,2023615,Credit,Active,2023-10-26,2027-12-28,True
3000348,116926,2015735,Debit,Active,2023-11-23,2026-08-06,True
3000349,119243,2034381,Debit,Active,2022-11-18,2025-09-23,True
3000350,111996,2021339,Virtual,Cancelled,2022-01-05,2025-04-17,True
3000351,128440,2026315,Debit,Active,2024-09-18,2027-03-13,True
3000352,121499,2023092,Credit,Blocked,2024-09-02,2027-07-16,False
3000353,100190,2024576,Credit,Active,2022-12-13,2026-01-22,True
3000354,102749,2024140,Debit,Active,2024-04-05,2027-06-07,True
3000355,128286,2025500,Debit,Active,2024-03-21,2028-01-03,True
3000356,129369,2006262,Debit,Active,2024-05-30,2028-10-07,True
3000357,113051,2010958,Debit,Cancelled,2023-12-29,2027-12-18,True
3000358,106109,2038888,Virtual,Active,2024-09-30,2028-11-18,True
3000359,900342,2014030,Debit,Active,2022-06-29,2027-06-05,False
3000360,115861,2030589,Debit,Expired,2023-01-19,2027-04-12,True
3000361,113053,2034043,Debit,Cancelled,2022-06-30,2026-02-15,False
3000362,105398,2022237,Credit,Active,2024-01-29,2027-05-09,True
3000363,122375,2016749,Virtual,Active,2024-03-30,2027-05-18,True
3000364,101083,2032978,Debit,Active,2024-09-17,2029-04-15,True
3000365,129945,2020734,Debit,Active,2022-11-01,2025-10-26,True
3000366,126868,2031296,Credit,Active,2022-11-09,2027-07-27,True
3000367,108341,2010167,Debit,Active,2024-10-28,2027-11-29,False
3000368,123970,2016908,Credit,Expired,2023-07-19,2026-06-21,True
3000369,112814,2018460,Debit,Active,2024-11-21,2029-12-16,True
3000370,129050,2003459,Debit,Cancelled,2024-04-12,2029-02-18,True
3000371,110530,2026709,Credit,Active,2022-10-11,2027-08-11,True
3000372,125966,2010469,Debit,Active,2024-01-13,2028-06-23,True
3000373,122006,2040598,Debit,Active,2024-04-12,2027-11-16,True
3000374,113019,2022787,Debit,Active,2024-09-18,2027-05-08,True
3000375,121808,2032789,Debit,Expired,2023-02-18,2027-12-21,True
3000376,106682,2023262,Debit,Active,2023-09-24,2026-11-23,True
3000377,106497,2019226,Debit,Active,2023-06-21,2027-06-20,True
3000378,100221,2024761,Debit,Active,2023-03-20,2027-05-18,True
3000379,119117,2026330,Debit,Cancelled,2024-03-03,2028-06-19,True
3000380,129637,2021258,Virtual,Cancelled,2023-06-09,2028-04-17,True
3000381,112806,2003677,Debit,Expired,2022-07-12,2025-11-18,True
3000382,127204,2004564,Debit,Expired,2023-09-10,2028-01-23,False
3000383,111332,2009202,Debit,Active,2024-09-06,2028-10-23,True
3000384,100327,2011775,Virtual,Active,2023-03-20,2028-02-21,True
3000385,117323,2036939,Debit,Active,2024-03-13,2027-10-01,True
3000386,117766,2029292,Credit,Blocked,2024-02-28,2027-08-27,True
3000387,116999,2003791,Credit,Active,2024-01-04,2027-11-01,True
3000388,120718,2023607,Debit,Active,2023-03-26,2027-03-15,True
3000389,116810,2019788,Debit,Cancelled,2024-02-19,2027-02-20,True
3000390,102616,2000487,Virtual,Active,2022-03-01,2027-02-27,True
3000391,124096,2005877,Debit,Active,2024-05-19,2029-06-30,True
3000392,108096,2010719,Debit,Active,2022-04-06,2025-06-22,True
3000393,103202,2021353,Credit,Active,2024-11-24,2027-09-16,True
3000394,125914,2022493,Debit,Active,2023-04-13,2027-01-31,True
3000395,102452,2008862,Virtual,Active,2024-06-27,2029-02-10,True
3000396,122747,2028534,Debit,Active,2023-05-03,2026-07-15,True
3000397,117903,2001818,Virtual,Active,2022-05-09,2026-08-19,True
3000398,121125,2017080,Debit,Active,2024-05-24,2029-02-17,True
3000399,102897,2024367,Debit,Blocked,2024-11-22,2027-06-10,True
3000400,113999,2021804,Credit,Active,2024-04-03,2026-12-17,True
3000401,104093,2021442,Virtual,Cancelled,2024-07-29,2028-03-03,True
3000402,110087,2037189,Debit,Active,2022-04-21,2026-07-02,True
